NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	-0.37316638	-1.5140183	0.0	0.25104415	0.179	1766	tags=36%, list=19%, signal=44%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	-0.47283018	-1.3373883	0.03206413	0.74672216	0.521	1050	tags=29%, list=11%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	-0.30171087	-1.3268183	0.06	0.57978857	0.58	762	tags=17%, list=8%, signal=18%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	105	-0.28321835	-1.1910051	0.15257733	1.0	0.862	2261	tags=33%, list=25%, signal=44%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	-0.28222468	-1.1876651	0.19774011	0.98878556	0.862	2382	tags=32%, list=26%, signal=43%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	119	-0.26599395	-1.1744304	0.15830116	0.8959998	0.878	2132	tags=31%, list=23%, signal=40%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.31936592	-1.1611035	0.22424242	0.8429118	0.916	2071	tags=40%, list=22%, signal=51%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	95	-0.31138107	-1.129873	0.23260437	0.88955194	0.957	1996	tags=31%, list=22%, signal=39%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	-0.26741493	-1.1229155	0.26391754	0.81712115	0.97	1990	tags=33%, list=22%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	105	-0.25249922	-1.106177	0.2264529	0.78051287	0.97	2449	tags=31%, list=27%, signal=42%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	-0.3068496	-1.0961912	0.35756385	0.7542706	0.97	2734	tags=38%, list=30%, signal=54%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	106	-0.25355944	-1.0799328	0.2821497	0.75795037	0.97	1763	tags=25%, list=19%, signal=31%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	-0.27712747	-1.0573993	0.38445807	0.7880291	0.97	2452	tags=36%, list=27%, signal=48%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	-0.25303817	-1.0213919	0.45180723	0.88926715	0.987	2071	tags=30%, list=22%, signal=39%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.23924291	-1.0171999	0.43785852	0.84583175	0.987	988	tags=16%, list=11%, signal=18%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	20	-0.29944462	-0.99888927	0.4802495	0.8382983	0.987	1003	tags=25%, list=11%, signal=28%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	-0.22283347	-0.993349	0.45186642	0.80619246	0.987	2336	tags=36%, list=25%, signal=47%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	-0.29151443	-0.98863107	0.49068323	0.7708465	0.987	706	tags=16%, list=8%, signal=18%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	21	-0.31729138	-0.9719333	0.48979592	0.7700845	0.987	2458	tags=33%, list=27%, signal=45%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.23100884	-0.9574823	0.46601942	0.77724016	0.987	3251	tags=58%, list=35%, signal=89%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		101	-0.23330246	-0.9363631	0.50803214	0.8104684	0.987	2071	tags=25%, list=22%, signal=32%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		61	-0.21621323	-0.8918069	0.7113821	0.8950684	1.0	560	tags=11%, list=6%, signal=12%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		161	-0.23953615	-0.88230556	0.59081835	0.8936058	1.0	1644	tags=20%, list=18%, signal=25%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		152	-0.20452112	-0.84437704	0.6745098	0.93789446	1.0	1756	tags=22%, list=19%, signal=27%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		48	-0.18541874	-0.8247671	0.8816568	0.9534221	1.0	892	tags=13%, list=10%, signal=14%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		81	-0.19400991	-0.7777436	0.83366334	1.0	1.0	2300	tags=28%, list=25%, signal=38%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		18	-0.26675746	-0.7743657	0.74545455	0.97360873	1.0	1485	tags=22%, list=16%, signal=26%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		175	-0.1771555	-0.74772924	0.80464214	0.98917574	1.0	1851	tags=22%, list=20%, signal=27%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		76	-0.17461608	-0.7372031	0.9745098	0.9752826	1.0	2139	tags=21%, list=23%, signal=27%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		37	-0.21308033	-0.7097533	0.81963927	0.9653069	1.0	2162	tags=24%, list=23%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		142	-0.17100736	-0.6239432	0.9486166	0.9839789	1.0	2508	tags=30%, list=27%, signal=40%	
