NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	158	0.60610247	1.8115219	0.0	0.050999977	0.0	1442	tags=42%, list=16%, signal=49%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.55593807	1.699323	0.0	0.050999977	0.051	1454	tags=36%, list=16%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	143	0.6934861	1.6675706	0.0	0.051000033	0.051	960	tags=48%, list=10%, signal=53%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	0.67275834	1.6654931	0.0	0.050999977	0.051	1085	tags=45%, list=12%, signal=50%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	155	0.6274215	1.6271994	0.0	0.051000006	0.051	987	tags=38%, list=11%, signal=42%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	156	0.45300543	1.5815436	0.0	0.063794166	0.096	1346	tags=29%, list=15%, signal=34%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	150	0.3964269	1.5557241	0.0	0.061966434	0.096	1962	tags=33%, list=21%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	104	0.34271425	1.4095476	0.0	0.1697828	0.621	1258	tags=23%, list=14%, signal=26%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	0.4795917	1.4015111	0.0	0.16070193	0.621	1926	tags=40%, list=21%, signal=50%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.45925844	1.357778	0.0	0.19794005	0.669	2030	tags=46%, list=22%, signal=59%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	0.3462142	1.3208431	0.09218437	0.2582739	0.817	1426	tags=25%, list=15%, signal=29%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.3819196	1.2716517	0.1064257	0.29609716	0.855	1926	tags=31%, list=21%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.28658608	1.1581547	0.19526628	0.47941953	0.855	1110	tags=19%, list=12%, signal=21%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	123	0.28954333	1.1524305	0.22244897	0.48438886	0.855	2802	tags=38%, list=30%, signal=54%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.37796363	1.1395583	0.22672065	0.48411512	0.855	2035	tags=33%, list=22%, signal=41%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	79	0.31706274	1.1128557	0.3220676	0.5086885	0.908	557	tags=14%, list=6%, signal=15%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	77	0.25934017	1.1066327	0.19526628	0.49794635	0.908	1768	tags=26%, list=19%, signal=32%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	106	0.2920214	1.0859176	0.32438016	0.5135958	0.908	1282	tags=23%, list=14%, signal=26%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	162	0.34963986	1.0818211	0.49392712	0.5032298	0.952	1037	tags=18%, list=11%, signal=20%	
