NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.29840368	1.354635	0.08450704	1.0	0.611	2234	tags=34%, list=24%, signal=44%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.38007453	1.3143986	0.1252485	0.7302458	0.769	2946	tags=54%, list=32%, signal=79%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	98	0.32245022	1.2571706	0.09626719	0.8188675	0.929	1668	tags=29%, list=18%, signal=34%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	104	0.29812598	1.1830261	0.13995942	1.0	0.939	1349	tags=23%, list=14%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	0.37678382	1.1606925	0.21338913	0.9298542	0.964	1645	tags=20%, list=18%, signal=24%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	122	0.24921477	1.1173856	0.26814517	1.0	0.978	1457	tags=21%, list=16%, signal=25%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.24827534	1.1105229	0.21298175	0.93535835	1.0	2850	tags=41%, list=31%, signal=58%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	49	0.2881485	1.1088078	0.21443298	0.8328754	1.0	1833	tags=33%, list=20%, signal=40%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	0.27152362	1.0480732	0.39884394	1.0	1.0	2152	tags=31%, list=23%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	128	0.25714567	1.0439403	0.31643003	0.93724424	1.0	1805	tags=29%, list=19%, signal=35%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.32760578	1.0252404	0.44379845	0.92443854	1.0	2319	tags=37%, list=25%, signal=49%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	107	0.2265313	1.0239199	0.39139345	0.8519543	1.0	1726	tags=26%, list=19%, signal=32%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	0.20283462	0.9629705	0.49802372	0.9948464	1.0	1743	tags=20%, list=19%, signal=25%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.23095842	0.954146	0.5112016	0.95833117	1.0	1891	tags=29%, list=20%, signal=36%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	104	0.20673314	0.93496805	0.5229167	0.97398365	1.0	1797	tags=23%, list=19%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.24159694	0.9075802	0.6121212	1.0	1.0	468	tags=11%, list=5%, signal=11%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	158	0.19775036	0.8743935	0.7525355	1.0	1.0	1161	tags=16%, list=12%, signal=18%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	79	0.19366933	0.8411074	0.7017544	1.0	1.0	1650	tags=23%, list=18%, signal=27%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.26399624	0.8374254	0.70515466	1.0	1.0	3392	tags=57%, list=36%, signal=89%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	51	0.22512022	0.83079994	0.75551105	0.99532914	1.0	1408	tags=22%, list=15%, signal=25%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		94	0.20899525	0.79005307	0.88391036	1.0	1.0	1019	tags=15%, list=11%, signal=17%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		80	0.21073426	0.78493977	0.83950615	0.98930043	1.0	1909	tags=25%, list=20%, signal=31%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		71	0.20341802	0.6784434	0.9530612	1.0	1.0	997	tags=17%, list=11%, signal=19%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	0.25003055	0.62011975	0.949187	1.0	1.0	1797	tags=29%, list=19%, signal=36%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		48	0.17281608	0.61255866	0.94499016	0.98986924	1.0	2111	tags=27%, list=23%, signal=35%	
