NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	161	0.6931408	2.897611	0.0	0.0	0.0	923	tags=43%, list=10%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	147	0.6972145	2.8908846	0.0	0.0	0.0	927	tags=48%, list=10%, signal=52%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	158	0.7002635	2.885715	0.0	0.0	0.0	1163	tags=50%, list=13%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	142	0.6907302	2.8539333	0.0	0.0	0.0	1062	tags=48%, list=11%, signal=53%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	161	0.5448639	2.2741058	0.0	0.0	0.0	1061	tags=28%, list=11%, signal=31%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.6244285	2.1383579	0.0	0.0	0.0	865	tags=30%, list=9%, signal=33%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	0.43860087	1.8655902	0.0	6.430138E-4	0.006	2151	tags=39%, list=23%, signal=49%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.5133237	1.7417817	0.0031347962	0.0033313192	0.034	1293	tags=35%, list=14%, signal=40%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	123	0.40778196	1.6207879	0.002919708	0.013205687	0.135	2065	tags=37%, list=22%, signal=46%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	149	0.34212384	1.4145184	0.016597511	0.09201819	0.691	2056	tags=34%, list=22%, signal=43%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	0.30306467	1.2772015	0.06460674	0.23909615	0.976	1482	tags=23%, list=16%, signal=27%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	71	0.34028238	1.2606413	0.115384616	0.24508278	0.985	2259	tags=35%, list=24%, signal=46%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	77	0.3290778	1.2190951	0.15418503	0.2935314	0.995	1312	tags=22%, list=14%, signal=26%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.31077468	1.212951	0.13936782	0.2826455	0.996	2123	tags=32%, list=23%, signal=41%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.35615623	1.1400076	0.25396827	0.40673772	1.0	1549	tags=32%, list=17%, signal=39%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	105	0.2718191	1.0584224	0.34061137	0.5742692	1.0	2111	tags=30%, list=23%, signal=38%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	106	0.26909083	1.057665	0.35260117	0.5423485	1.0	987	tags=15%, list=11%, signal=17%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	102	0.26606172	1.0470207	0.37761194	0.5386648	1.0	1399	tags=22%, list=15%, signal=25%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.23877741	1.0062311	0.44489247	0.60800713	1.0	2200	tags=26%, list=24%, signal=34%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.32903814	0.97333664	0.48833334	0.65910256	1.0	2151	tags=42%, list=23%, signal=54%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		81	0.23952286	0.9146165	0.6017964	0.77476174	1.0	2329	tags=28%, list=25%, signal=38%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		46	0.26493403	0.90733504	0.60152674	0.75590116	1.0	2199	tags=35%, list=24%, signal=45%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		78	0.22376388	0.8333768	0.777439	0.88739413	1.0	2163	tags=29%, list=23%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		127	0.19588499	0.78317976	0.89835167	0.937506	1.0	1782	tags=20%, list=19%, signal=25%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		47	0.20222096	0.6993715	0.9244663	0.9914727	1.0	995	tags=13%, list=11%, signal=14%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		75	0.17556326	0.64911664	0.9768519	0.97827095	1.0	1425	tags=13%, list=15%, signal=16%	
