NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	122	0.45679936	1.7029768	0.0	0.022718746	0.009	1191	tags=32%, list=13%, signal=36%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	0.59565824	1.6868306	0.0	0.023687497	0.034	861	tags=39%, list=10%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	119	0.5655232	1.6749036	0.0	0.020458337	0.034	1839	tags=48%, list=20%, signal=59%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	160	0.45318922	1.5124464	0.0	0.08529688	0.174	1448	tags=36%, list=16%, signal=42%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	99	0.5058137	1.4772232	0.0	0.12125164	0.325	2531	tags=54%, list=28%, signal=74%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.4292795	1.4392276	0.06036217	0.15583639	0.492	1818	tags=36%, list=20%, signal=45%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.3660407	1.4157089	0.03950104	0.17741713	0.553	2153	tags=39%, list=24%, signal=51%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	148	0.33398703	1.4131099	0.03420523	0.15698996	0.553	1662	tags=27%, list=18%, signal=33%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	107	0.3582946	1.4108468	0.0	0.14837836	0.569	1635	tags=31%, list=18%, signal=37%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	98	0.33638653	1.4075019	0.030120483	0.13791443	0.569	1815	tags=34%, list=20%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	148	0.3505982	1.3674883	0.0	0.16525319	0.633	2007	tags=34%, list=22%, signal=44%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	0.4289903	1.3347107	0.037894737	0.19453438	0.733	2293	tags=42%, list=26%, signal=56%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.41033715	1.3091679	0.15581854	0.20231082	0.754	1755	tags=39%, list=20%, signal=49%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	99	0.2919111	1.2979792	0.062626265	0.19906901	0.786	1102	tags=25%, list=12%, signal=28%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	138	0.2828578	1.2850926	0.032128513	0.20253767	0.831	761	tags=17%, list=8%, signal=19%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	0.378415	1.2721809	0.07535642	0.21043466	0.847	1755	tags=44%, list=20%, signal=55%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	0.4178739	1.2705504	0.13944224	0.19887966	0.847	1411	tags=33%, list=16%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	0.3355167	1.2669717	0.15286624	0.1964698	0.847	934	tags=24%, list=10%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.35402638	1.2604203	0.15337424	0.19296119	0.864	3005	tags=51%, list=33%, signal=75%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	19	0.4587904	1.2457529	0.17291667	0.20408292	0.874	1815	tags=47%, list=20%, signal=59%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		153	0.30498362	1.2437854	0.053497944	0.19503136	0.874	1048	tags=18%, list=12%, signal=20%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		73	0.34658867	1.222178	0.065737054	0.21563284	0.889	1339	tags=29%, list=15%, signal=34%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		76	0.26582906	1.197884	0.088176355	0.234311	0.903	1912	tags=33%, list=21%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		69	0.3450828	1.1732112	0.16386555	0.25487092	0.931	1425	tags=29%, list=16%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		129	0.26564395	1.1208633	0.22469635	0.32073843	0.931	943	tags=18%, list=10%, signal=20%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		118	0.24668735	1.0247256	0.462	0.4703319	0.978	2410	tags=31%, list=27%, signal=42%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		92	0.24817534	1.0226185	0.4410058	0.46114218	0.978	1049	tags=16%, list=12%, signal=18%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		122	0.21879084	0.9443344	0.5245283	0.60558057	0.994	1956	tags=29%, list=22%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		59	0.21392705	0.9157729	0.65483236	0.6474282	0.994	2232	tags=34%, list=25%, signal=45%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		149	0.14870684	0.70427567	0.97270954	0.93825907	1.0	1226	tags=12%, list=14%, signal=14%	
