NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	-0.40578005	-1.6422986	0.0047393367	0.08275881	0.083	2896	tags=53%, list=32%, signal=77%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	66	-0.36811778	-1.5238451	0.0023980816	0.11264278	0.214	799	tags=21%, list=9%, signal=23%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	80	-0.3402975	-1.4571635	0.01728395	0.1311999	0.343	2102	tags=38%, list=23%, signal=48%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	96	-0.32322967	-1.4386451	0.011396011	0.1131831	0.381	1191	tags=25%, list=13%, signal=28%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	34	-0.37439638	-1.3579568	0.07746479	0.17661788	0.605	1176	tags=24%, list=13%, signal=27%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.32471156	-1.2901816	0.10723192	0.23385519	0.765	1953	tags=39%, list=21%, signal=49%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	-0.24630468	-1.165691	0.15384616	0.4582221	0.968	1949	tags=27%, list=21%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	147	-0.24686626	-1.1607449	0.13813815	0.41461343	0.972	2486	tags=35%, list=27%, signal=47%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	41	-0.3013267	-1.129039	0.2596811	0.44944227	0.992	1458	tags=27%, list=16%, signal=32%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	92	-0.2513376	-1.1179339	0.22772278	0.43020377	0.993	1324	tags=21%, list=15%, signal=24%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	68	-0.26350492	-1.1043869	0.22985782	0.42135724	0.995	1181	tags=19%, list=13%, signal=22%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	91	-0.24605002	-1.0865327	0.28610355	0.42659417	0.996	2234	tags=31%, list=25%, signal=40%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	120	-0.21299835	-0.97939914	0.51187336	0.68719965	1.0	2165	tags=28%, list=24%, signal=37%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	16	-0.3142084	-0.92603457	0.56587476	0.79682404	1.0	2634	tags=38%, list=29%, signal=53%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	109	-0.19796915	-0.8991046	0.7027027	0.81988215	1.0	1905	tags=25%, list=21%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.28408456	-0.8974505	0.61894274	0.77328354	1.0	1536	tags=30%, list=17%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	-0.19901541	-0.8897555	0.7412399	0.7465428	1.0	1962	tags=25%, list=22%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	134	-0.17562297	-0.821802	0.88950276	0.835905	1.0	1702	tags=19%, list=19%, signal=24%	
