NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	-0.36114186	-1.3374896	0.0	1.0	0.498	558	tags=17%, list=6%, signal=18%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	-0.2950065	-1.3317479	0.0	0.90915006	0.55	1369	tags=23%, list=15%, signal=26%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	-0.2648474	-1.2727495	0.0	0.9084521	0.626	2033	tags=27%, list=22%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	71	-0.34636796	-1.2376657	0.09533469	0.9674944	0.831	568	tags=15%, list=6%, signal=16%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.2675293	-1.2174182	0.09939148	0.8628721	0.831	1471	tags=24%, list=16%, signal=28%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.2847729	-1.188924	0.11392405	0.80833095	0.884	1346	tags=21%, list=14%, signal=25%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.2890367	-1.1512562	0.2454361	0.845402	1.0	2853	tags=45%, list=30%, signal=64%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	76	-0.2568505	-1.15064	0.09416196	0.75141895	1.0	2291	tags=34%, list=24%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	-0.29241103	-1.1465172	0.26078433	0.6830038	1.0	2811	tags=46%, list=30%, signal=65%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	-0.29610685	-1.1432965	0.3249476	0.63340396	1.0	1154	tags=18%, list=12%, signal=20%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.2838281	-1.0995382	0.17623763	0.68418396	1.0	268	tags=12%, list=3%, signal=12%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	-0.25354326	-1.0904222	0.11176471	0.6506076	1.0	2244	tags=27%, list=24%, signal=35%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	85	-0.26340848	-1.0247142	0.37243947	0.8532663	1.0	1504	tags=19%, list=16%, signal=22%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	-0.23512737	-1.0154271	0.26679462	0.82577175	1.0	2132	tags=29%, list=23%, signal=37%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	130	-0.20097086	-0.9995648	0.49162012	0.8215803	1.0	1741	tags=21%, list=19%, signal=25%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	-0.20248647	-0.97904515	0.28712872	0.83904874	1.0	1891	tags=22%, list=20%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.29285622	-0.94471127	0.5992063	0.888658	1.0	3248	tags=60%, list=35%, signal=91%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	108	-0.19842082	-0.9038108	0.5187377	0.91108406	1.0	2132	tags=26%, list=23%, signal=33%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.27005088	-0.88136417	0.6923077	0.95130646	1.0	375	tags=14%, list=4%, signal=14%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	47	-0.20755899	-0.87583905	0.7244259	0.91895026	1.0	959	tags=15%, list=10%, signal=17%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		139	-0.16970511	-0.8717255	0.64509803	0.88631105	1.0	2340	tags=22%, list=25%, signal=29%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		153	-0.17969176	-0.8462344	0.58587784	0.9018625	1.0	1154	tags=14%, list=12%, signal=15%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		184	-0.16349089	-0.8165761	0.6422925	0.9156591	1.0	2439	tags=28%, list=26%, signal=37%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		104	-0.22686307	-0.7750498	0.6401591	0.9581793	1.0	1461	tags=18%, list=16%, signal=21%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		19	-0.29128626	-0.76304203	0.8968254	0.934796	1.0	188	tags=11%, list=2%, signal=11%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		58	-0.30204186	-0.71923965	0.71953577	0.94553465	1.0	2131	tags=31%, list=23%, signal=40%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	-0.24906807	-0.68422306	0.6928983	0.9428527	1.0	1347	tags=24%, list=14%, signal=27%	
