NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	123	-0.55175763	-1.8242633	0.0	0.027652172	0.015	1284	tags=41%, list=15%, signal=47%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	41	-0.50241745	-1.6457053	0.0	0.054208428	0.066	1428	tags=41%, list=16%, signal=49%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	123	-0.44787464	-1.6388474	0.0	0.04779113	0.088	1454	tags=37%, list=17%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	90	-0.4953055	-1.5956494	0.0	0.05690869	0.152	1864	tags=47%, list=21%, signal=59%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	75	-0.31457254	-1.4987582	0.0	0.105244786	0.34	944	tags=20%, list=11%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	91	-0.38957822	-1.3785625	0.0	0.24213193	0.713	1469	tags=26%, list=17%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	19	-0.51271623	-1.377226	0.046242774	0.20925596	0.713	1287	tags=53%, list=15%, signal=62%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	18	-0.47854283	-1.3391659	0.086538464	0.23182003	0.813	846	tags=17%, list=10%, signal=18%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	68	-0.38722205	-1.3260195	0.06944445	0.23182122	0.835	2436	tags=44%, list=28%, signal=61%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	144	-0.328817	-1.3095523	0.028571429	0.23436433	0.883	2498	tags=41%, list=29%, signal=56%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	53	-0.2840826	-1.2723267	0.09356725	0.2705987	0.925	319	tags=13%, list=4%, signal=14%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	75	-0.31168884	-1.252208	0.042168673	0.2723574	0.941	1242	tags=29%, list=14%, signal=34%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	99	-0.312153	-1.24087	0.039215688	0.26763627	0.952	2043	tags=33%, list=23%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	44	-0.31571248	-1.2154201	0.12765957	0.3082171	0.963	2062	tags=39%, list=24%, signal=50%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	45	-0.29614413	-1.2025594	0.17611337	0.31151548	0.963	544	tags=11%, list=6%, signal=12%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	93	-0.26496714	-1.1543094	0.2192623	0.3618542	0.976	606	tags=15%, list=7%, signal=16%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	43	-0.318612	-1.1410239	0.23908524	0.36396223	0.976	1628	tags=35%, list=19%, signal=43%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	121	-0.2399423	-1.082844	0.28370222	0.45722213	0.985	2109	tags=30%, list=24%, signal=39%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	71	-0.24613036	-1.0312526	0.44827586	0.5308609	1.0	1018	tags=18%, list=12%, signal=21%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	146	-0.17374608	-0.8887985	0.5626243	0.7892564	1.0	1896	tags=22%, list=22%, signal=28%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		42	-0.22402233	-0.8679934	0.7133891	0.78835404	1.0	1505	tags=26%, list=17%, signal=31%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		133	-0.16265719	-0.85409266	0.68537074	0.78059745	1.0	1454	tags=17%, list=17%, signal=20%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		23	-0.2506961	-0.78544307	0.754717	0.85279596	1.0	2207	tags=26%, list=25%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		52	-0.29844832	-0.6587726	0.88	0.9385884	1.0	2661	tags=52%, list=30%, signal=74%	
