NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	0.58657265	1.7862502	0.0	0.026374996	0.015	1235	tags=43%, list=14%, signal=49%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	99	0.5892603	1.7561724	0.0	0.019187495	0.027	1573	tags=47%, list=18%, signal=57%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	120	0.38029456	1.7034844	0.0	0.02076698	0.041	692	tags=22%, list=8%, signal=23%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	148	0.3515437	1.5693748	0.0	0.0686749	0.184	1184	tags=26%, list=14%, signal=29%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	158	0.46338406	1.5634617	0.0	0.057339914	0.184	1622	tags=39%, list=19%, signal=47%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.35840344	1.531978	0.034068137	0.06089297	0.249	1433	tags=30%, list=16%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	69	0.4042099	1.442276	0.0	0.10256761	0.443	913	tags=29%, list=10%, signal=32%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	96	0.30679065	1.429442	0.0	0.09957668	0.467	1184	tags=24%, list=14%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.39369935	1.3787133	0.09650924	0.13716476	0.667	2509	tags=44%, list=29%, signal=60%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	104	0.27925307	1.3682964	0.043737575	0.14713514	0.717	1332	tags=27%, list=15%, signal=31%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.42049402	1.3126066	0.100823045	0.19415157	0.817	1267	tags=30%, list=14%, signal=35%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	73	0.31279	1.3125046	0.09832636	0.17897227	0.817	631	tags=23%, list=7%, signal=25%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	116	0.36142817	1.2913862	0.054054055	0.18895546	0.872	2853	tags=49%, list=33%, signal=72%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	143	0.2644203	1.2912579	0.0	0.1763158	0.872	2100	tags=34%, list=24%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	90	0.31158593	1.2689421	0.108216435	0.18961087	0.904	432	tags=16%, list=5%, signal=16%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	47	0.4340794	1.2375163	0.24109015	0.21012838	0.95	2670	tags=62%, list=30%, signal=88%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	65	0.2694371	1.1345311	0.21604939	0.3701046	0.984	682	tags=18%, list=8%, signal=20%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	35	0.2914982	1.1124773	0.37204725	0.38620555	0.984	384	tags=11%, list=4%, signal=12%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.27781215	1.1110097	0.35943776	0.36848262	0.984	2459	tags=41%, list=28%, signal=57%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	58	0.28217867	1.0912199	0.32142857	0.3791396	0.984	1798	tags=34%, list=21%, signal=43%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		145	0.17552519	0.8154578	0.7293666	0.8517527	1.0	1831	tags=23%, list=21%, signal=28%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		97	0.24742395	0.78122956	0.67460316	0.8639696	1.0	1214	tags=22%, list=14%, signal=25%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		173	0.14735745	0.63528085	0.8517786	0.956022	1.0	2167	tags=23%, list=25%, signal=30%	
