NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	147	0.6767221	1.9224204	0.0	0.011	0.0	902	tags=46%, list=10%, signal=50%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	161	0.65405554	1.8959795	0.0	0.011	0.011	1002	tags=40%, list=11%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	144	0.6612127	1.8830525	0.0	0.011	0.011	923	tags=42%, list=10%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	159	0.5145065	1.8363744	0.0	0.011	0.011	1197	tags=31%, list=13%, signal=36%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.56541985	1.8360163	0.0	0.011	0.011	1255	tags=36%, list=14%, signal=41%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	158	0.65999025	1.7821835	0.0	0.011	0.011	1013	tags=44%, list=11%, signal=48%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	150	0.31060687	1.4304283	0.0	0.18703808	0.486	1663	tags=24%, list=18%, signal=29%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.41042405	1.3332006	0.071287125	0.32120165	0.751	1071	tags=29%, list=12%, signal=33%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	123	0.34256464	1.287715	0.14734773	0.3523778	0.82	2210	tags=37%, list=24%, signal=47%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.37338156	1.1684146	0.30392158	0.6365439	0.986	1334	tags=24%, list=14%, signal=28%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	0.33740675	1.1569847	0.19172113	0.6033977	0.986	1957	tags=31%, list=21%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.28299206	1.1363025	0.3	0.6107116	1.0	923	tags=16%, list=10%, signal=18%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.31664357	1.1087513	0.42205322	0.62332386	1.0	1736	tags=27%, list=19%, signal=33%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.27594703	1.062888	0.4122449	0.69207126	1.0	2072	tags=25%, list=23%, signal=32%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	103	0.2217177	1.036688	0.30377358	0.7038652	1.0	1472	tags=17%, list=16%, signal=21%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.26692092	1.0358286	0.3385214	0.66161746	1.0	1855	tags=26%, list=20%, signal=32%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	0.2255406	1.0196192	0.5290581	0.6602876	1.0	504	tags=10%, list=5%, signal=11%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	105	0.22982883	0.98956466	0.52110094	0.68109393	1.0	1438	tags=21%, list=16%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	125	0.21889119	0.9674026	0.4453125	0.6889376	1.0	953	tags=14%, list=10%, signal=15%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	95	0.25021464	0.9322693	0.5137421	0.7376294	1.0	1612	tags=27%, list=18%, signal=33%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		20	0.2923384	0.9171695	0.59325397	0.7291036	1.0	1996	tags=40%, list=22%, signal=51%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		48	0.2404247	0.8837727	0.7046843	0.74750423	1.0	2196	tags=31%, list=24%, signal=41%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		164	0.2579517	0.8735604	0.64453125	0.73245156	1.0	1517	tags=22%, list=16%, signal=26%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		37	0.20554908	0.8722925	0.8050314	0.70495474	1.0	1515	tags=19%, list=16%, signal=23%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		75	0.2235837	0.86691356	0.831758	0.68761224	1.0	854	tags=13%, list=9%, signal=15%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	0.20829836	0.83949614	0.85877866	0.7033034	1.0	1501	tags=20%, list=16%, signal=23%	
