NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	82	-0.43770704	-1.4517521	0.0	0.7549416	0.548	1731	tags=41%, list=19%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.40919757	-1.3951596	0.0	0.5231407	0.599	1774	tags=37%, list=19%, signal=45%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	68	-0.3743316	-1.2913615	0.0	0.7140156	0.805	1679	tags=34%, list=18%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	124	-0.3070597	-1.2536365	0.16770187	0.66530097	0.853	1908	tags=31%, list=21%, signal=38%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	100	-0.44760025	-1.1778506	0.4117647	0.7397539	0.853	1548	tags=39%, list=17%, signal=46%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	151	-0.34268406	-1.1740601	0.29192546	0.63875467	0.853	2107	tags=39%, list=23%, signal=50%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	92	-0.31872946	-1.1365013	0.2045929	0.6627004	0.853	1741	tags=30%, list=19%, signal=37%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.42290694	-1.1277543	0.1884058	0.59895146	0.853	1589	tags=42%, list=17%, signal=50%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	108	-0.27270073	-1.1034194	0.2096436	0.6212497	0.912	1096	tags=19%, list=12%, signal=21%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	121	-0.31932956	-1.0004379	0.51759833	0.8328595	0.958	1907	tags=31%, list=21%, signal=38%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	94	-0.24280313	-0.98556995	0.40567952	0.80074614	1.0	2062	tags=30%, list=22%, signal=38%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.22323932	-0.9786411	0.54435486	0.75471413	1.0	2775	tags=37%, list=30%, signal=53%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	-0.48358783	-0.9697957	0.595092	0.7148548	1.0	1548	tags=46%, list=17%, signal=54%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	35	-0.21256326	-0.9168026	0.66071427	0.78570586	1.0	1908	tags=26%, list=21%, signal=32%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	19	-0.31204897	-0.9103362	0.4785276	0.74843395	1.0	1229	tags=26%, list=13%, signal=30%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.23469512	-0.9049233	0.56935817	0.71429914	1.0	1399	tags=21%, list=15%, signal=24%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.32144693	-0.8760889	0.56133056	0.69820905	1.0	1573	tags=29%, list=17%, signal=35%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	76	-0.20034435	-0.8371472	0.55846775	0.7193218	1.0	2495	tags=30%, list=27%, signal=41%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	137	-0.17769648	-0.73638356	0.8971774	0.83974355	1.0	2030	tags=22%, list=22%, signal=28%	
