NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	-0.25133264	-1.2824242	0.055214725	1.0	0.732	1843	tags=26%, list=20%, signal=32%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.30145505	-1.1258252	0.2946768	1.0	0.983	2315	tags=38%, list=25%, signal=50%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	153	-0.27966228	-1.123508	0.25512105	1.0	0.983	1522	tags=23%, list=16%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	-0.24987413	-1.1198947	0.23224568	1.0	0.983	2544	tags=35%, list=27%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	127	-0.28829712	-1.1056342	0.27102804	1.0	1.0	1718	tags=27%, list=18%, signal=32%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	78	-0.23624995	-1.0418696	0.47528517	1.0	1.0	2522	tags=35%, list=27%, signal=47%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	-0.28981474	-0.98645777	0.5389105	1.0	1.0	1869	tags=35%, list=20%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	-0.23530269	-0.9858796	0.42471042	1.0	1.0	1696	tags=24%, list=18%, signal=29%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	106	-0.2165639	-0.9478755	0.5532359	1.0	1.0	1033	tags=17%, list=11%, signal=19%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	160	-0.23935118	-0.9435261	0.55938697	0.9741286	1.0	2396	tags=33%, list=25%, signal=44%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	161	-0.208231	-0.91085637	0.61960787	0.97617507	1.0	1383	tags=17%, list=15%, signal=19%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	47	-0.20772533	-0.891197	0.8029661	0.94354844	1.0	872	tags=15%, list=9%, signal=16%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	-0.2022451	-0.8696584	0.7316562	0.9159541	1.0	2968	tags=41%, list=31%, signal=60%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.22516818	-0.859293	0.7021696	0.86914814	1.0	1322	tags=23%, list=14%, signal=27%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	38	-0.25118533	-0.8093955	0.7200772	0.9223471	1.0	2449	tags=34%, list=26%, signal=46%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	58	-0.28934848	-0.6883003	0.76635516	1.0	1.0	2488	tags=36%, list=26%, signal=49%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.21796328	-0.6440853	0.8477842	1.0	1.0	1141	tags=18%, list=12%, signal=20%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	94	-0.15173489	-0.5805431	0.9661017	0.99371797	1.0	1064	tags=12%, list=11%, signal=13%	
