NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	144	0.6585011	1.8742219	0.0	0.019000003	0.012	1336	tags=48%, list=15%, signal=55%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.59832424	1.8623947	0.0	0.014000002	0.021	361	tags=22%, list=4%, signal=23%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	138	0.6103733	1.8545574	0.0	0.0123333335	0.021	1513	tags=46%, list=17%, signal=55%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	158	0.5956377	1.8428047	0.0	0.011499997	0.021	830	tags=32%, list=9%, signal=35%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	157	0.48046616	1.8339198	0.0	0.010999999	0.021	935	tags=23%, list=10%, signal=25%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	158	0.60945034	1.7408334	0.0	0.014344824	0.035	1254	tags=41%, list=14%, signal=46%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	148	0.35203412	1.5072246	0.0	0.114451505	0.435	1433	tags=21%, list=16%, signal=24%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	101	0.3294289	1.3967556	0.03984064	0.19728172	0.724	2347	tags=33%, list=26%, signal=43%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.3565547	1.3807122	0.07505071	0.19697613	0.756	1822	tags=30%, list=20%, signal=37%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	162	0.27335688	1.2751533	0.129771	0.34622446	0.899	979	tags=16%, list=11%, signal=18%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	123	0.33443525	1.2613372	0.17489712	0.33830607	0.922	2672	tags=45%, list=29%, signal=62%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.35746905	1.2019814	0.1802935	0.4110326	0.967	1865	tags=31%, list=20%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.26783356	1.199478	0.25732216	0.3831593	0.967	2040	tags=28%, list=22%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	103	0.30773777	1.1872826	0.19421488	0.37256688	0.967	2481	tags=39%, list=27%, signal=53%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	47	0.28306755	1.1285833	0.26931107	0.43568784	0.99	2880	tags=40%, list=31%, signal=59%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	0.29035866	1.1234736	0.30452675	0.41662776	0.99	2535	tags=38%, list=28%, signal=51%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	48	0.2937262	1.0438066	0.35639414	0.5615422	1.0	146	tags=8%, list=2%, signal=8%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.34862307	1.0433769	0.361829	0.53084546	1.0	2358	tags=48%, list=26%, signal=64%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	103	0.23861054	1.0409021	0.39839035	0.5120787	1.0	1465	tags=18%, list=16%, signal=22%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.2614751	1.0378383	0.3211382	0.4925165	1.0	1779	tags=27%, list=19%, signal=33%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		176	0.25642413	1.0301799	0.41472867	0.48436445	1.0	2492	tags=34%, list=27%, signal=45%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		78	0.22690053	1.0283623	0.362	0.46692902	1.0	474	tags=10%, list=5%, signal=11%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		125	0.22855961	1.0136362	0.55424064	0.47545728	1.0	1819	tags=23%, list=20%, signal=29%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		103	0.21575585	0.87783086	0.73015875	0.67095774	1.0	1567	tags=18%, list=17%, signal=22%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		19	0.22491166	0.61246055	0.9314516	0.9583812	1.0	2547	tags=47%, list=28%, signal=65%	
