NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	-0.2767095	-1.2716135	0.105860114	1.0	0.773	2532	tags=37%, list=27%, signal=49%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	69	-0.39064276	-1.2477756	0.08440367	0.9450597	0.8	1407	tags=33%, list=15%, signal=39%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	140	-0.27213973	-1.1293911	0.20833333	1.0	0.934	1569	tags=23%, list=17%, signal=27%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.3096702	-1.1219407	0.13123845	1.0	0.934	1823	tags=34%, list=19%, signal=41%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	152	-0.28984106	-1.1203666	0.26703498	0.87707776	0.934	2755	tags=41%, list=29%, signal=58%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	-0.2014797	-1.0396696	0.3966942	1.0	0.992	2090	tags=23%, list=22%, signal=30%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.2888274	-1.0120456	0.45233265	1.0	1.0	991	tags=18%, list=11%, signal=20%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	158	-0.21050406	-0.9539775	0.556213	1.0	1.0	2009	tags=27%, list=21%, signal=33%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	-0.24214597	-0.9315831	0.6124031	1.0	1.0	2137	tags=35%, list=23%, signal=45%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	-0.29826903	-0.91462797	0.589942	1.0	1.0	1093	tags=19%, list=12%, signal=21%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	160	-0.20532902	-0.9052219	0.66871166	1.0	1.0	1343	tags=18%, list=14%, signal=20%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	129	-0.22017033	-0.9034847	0.57593685	1.0	1.0	1842	tags=26%, list=20%, signal=31%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	102	-0.31976905	-0.88080156	0.82169116	1.0	1.0	2048	tags=33%, list=22%, signal=42%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	58	-0.4551614	-0.87590545	0.89705884	1.0	1.0	2138	tags=47%, list=23%, signal=60%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.21774033	-0.85913724	0.801217	0.9911651	1.0	1951	tags=28%, list=21%, signal=35%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	-0.21683638	-0.77296674	0.87525564	1.0	1.0	1185	tags=17%, list=13%, signal=19%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	154	-0.19108735	-0.7539273	0.90438247	1.0	1.0	748	tags=12%, list=8%, signal=12%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	-0.19501086	-0.7371032	0.8964803	1.0	1.0	2866	tags=38%, list=30%, signal=54%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	162	-0.2009417	-0.7304161	0.82270914	0.98253846	1.0	1689	tags=20%, list=18%, signal=24%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	80	-0.19210187	-0.7154831	0.92748094	0.9432378	1.0	2006	tags=21%, list=21%, signal=27%	
