NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	0.35639584	1.3380567	0.11133603	1.0	0.678	2263	tags=42%, list=24%, signal=55%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.3400277	1.2863586	0.18503119	1.0	0.809	1607	tags=28%, list=17%, signal=34%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	107	0.33194268	1.2764791	0.10547667	1.0	0.839	2018	tags=33%, list=22%, signal=41%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	105	0.3046454	1.2499717	0.08213552	1.0	0.839	1974	tags=31%, list=21%, signal=39%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	148	0.29379246	1.2326934	0.052854124	1.0	0.861	2012	tags=32%, list=22%, signal=40%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	49	0.331186	1.2300943	0.17296223	0.85559624	0.861	2205	tags=39%, list=24%, signal=51%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	96	0.3055602	1.1729074	0.24643585	0.9934998	0.88	2091	tags=28%, list=23%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	125	0.3053659	1.147272	0.23529412	0.9500262	0.927	1785	tags=28%, list=19%, signal=34%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.27104607	1.1318609	0.20801526	0.90813184	0.936	2205	tags=36%, list=24%, signal=46%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	0.3398926	1.1212353	0.2718053	0.8551383	0.936	1656	tags=27%, list=18%, signal=32%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	122	0.27454552	1.0826144	0.2781186	0.94002557	0.964	1794	tags=25%, list=19%, signal=30%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.27567914	1.0672572	0.35610765	0.92183906	0.964	3159	tags=41%, list=34%, signal=62%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	0.30234975	1.0418501	0.46169356	0.9398588	0.964	1429	tags=25%, list=15%, signal=29%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	0.25093755	1.0012165	0.407045	1.0	0.964	1275	tags=20%, list=14%, signal=23%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	0.21968625	0.96679103	0.52929294	1.0	0.988	1926	tags=24%, list=21%, signal=30%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.24421374	0.95941734	0.51960784	1.0	1.0	2741	tags=37%, list=30%, signal=52%	
