NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	160	0.69975746	2.0285683	0.0	0.012000002	0.0	943	tags=43%, list=10%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	145	0.70536155	1.9826318	0.0	0.012000002	0.012	1061	tags=50%, list=12%, signal=56%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	157	0.75182635	1.9485135	0.0	0.012000001	0.012	971	tags=51%, list=11%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	142	0.6989303	1.9248053	0.0	0.012000002	0.012	1000	tags=49%, list=11%, signal=55%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.58568627	1.8590964	0.0	0.011999999	0.012	725	tags=28%, list=8%, signal=30%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	159	0.5128102	1.811995	0.0	0.012000001	0.012	1035	tags=27%, list=11%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	0.3570051	1.5267512	0.0	0.07182407	0.285	1171	tags=21%, list=13%, signal=24%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	0.3514307	1.4522072	0.0	0.1327929	0.442	1802	tags=29%, list=20%, signal=35%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.48702055	1.4453937	0.07429719	0.12743865	0.442	1942	tags=39%, list=21%, signal=49%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	0.47402784	1.4451134	0.07355865	0.11589479	0.442	2176	tags=41%, list=24%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	122	0.4247082	1.3804927	0.049407113	0.18470009	0.618	1882	tags=34%, list=21%, signal=43%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	100	0.35287857	1.3491712	0.078125	0.2023278	0.682	2947	tags=41%, list=32%, signal=60%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	104	0.31038278	1.3203843	0.03976143	0.23560283	0.777	1809	tags=26%, list=20%, signal=32%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	0.31946298	1.3019743	0.06625259	0.23933381	0.777	1886	tags=26%, list=21%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	0.33461726	1.2036576	0.08571429	0.37878624	0.945	819	tags=16%, list=9%, signal=18%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	47	0.28604472	1.1709673	0.13786009	0.40093058	0.976	1565	tags=26%, list=17%, signal=31%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	76	0.3126684	1.1632997	0.19959678	0.39022034	0.988	1450	tags=25%, list=16%, signal=29%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	103	0.26692212	1.1374005	0.18252428	0.40014476	1.0	1989	tags=31%, list=22%, signal=39%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	79	0.24769372	1.1222788	0.22266401	0.40672317	1.0	2807	tags=39%, list=31%, signal=56%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	0.30559975	1.1037331	0.3444882	0.41801843	1.0	1522	tags=22%, list=17%, signal=27%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		77	0.24491161	1.0840569	0.28541225	0.4333479	1.0	1100	tags=17%, list=12%, signal=19%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		103	0.23425724	1.0794017	0.2731006	0.42499536	1.0	983	tags=17%, list=11%, signal=19%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	0.2720125	1.004248	0.46092185	0.5342836	1.0	1361	tags=24%, list=15%, signal=28%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		23	0.294415	0.8841287	0.6552419	0.74485487	1.0	923	tags=22%, list=10%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		59	0.22103226	0.85150933	0.762	0.76764077	1.0	1921	tags=25%, list=21%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		135	0.22871126	0.81125194	0.60965794	0.7952802	1.0	1782	tags=24%, list=20%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		176	0.28636476	0.7958732	0.6600398	0.78695786	1.0	2206	tags=30%, list=24%, signal=38%	
