NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.37946782	-1.432294	0.0	0.93725055	0.332	1258	tags=25%, list=13%, signal=29%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	124	-0.3462367	-1.3399163	0.10330579	0.924948	0.627	647	tags=18%, list=7%, signal=19%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	-0.316489	-1.303828	0.0	0.7840969	0.725	2546	tags=40%, list=27%, signal=54%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	86	-0.37210694	-1.3006173	0.0	0.60007274	0.725	1614	tags=33%, list=17%, signal=39%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	152	-0.308179	-1.2448179	0.09090909	0.615395	0.813	1478	tags=28%, list=16%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	112	-0.2976088	-1.205276	0.11895161	0.6782976	0.867	1660	tags=26%, list=18%, signal=31%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.28954968	-1.1775589	0.21237114	0.6302194	0.959	1391	tags=25%, list=15%, signal=29%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.28415883	-1.1473868	0.18554688	0.6309479	0.959	255	tags=9%, list=3%, signal=10%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.25111416	-1.0534925	0.3029703	0.9976403	1.0	1314	tags=20%, list=14%, signal=23%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	-0.26838785	-1.0465152	0.18003914	0.9194098	1.0	2400	tags=34%, list=26%, signal=45%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	101	-0.36273003	-1.0407308	0.30103093	0.8577572	1.0	1882	tags=36%, list=20%, signal=44%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	20	-0.32721418	-1.0327253	0.51663405	0.82214886	1.0	505	tags=20%, list=5%, signal=21%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	71	-0.3219431	-1.032105	0.21237114	0.7625988	1.0	2280	tags=37%, list=24%, signal=48%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	-0.24347691	-1.0248327	0.2696177	0.74280626	1.0	2030	tags=31%, list=22%, signal=39%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.2606002	-1.0134352	0.48514852	0.73697054	1.0	2640	tags=37%, list=28%, signal=51%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	78	-0.21325573	-0.99656886	0.33333334	0.75275564	1.0	2112	tags=29%, list=22%, signal=38%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	95	-0.25703603	-0.98037577	0.48971194	0.7757143	1.0	522	tags=12%, list=6%, signal=12%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	-0.47959173	-0.96501815	0.48785424	0.77447087	1.0	2501	tags=54%, list=27%, signal=74%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.26940644	-0.953616	0.5071283	0.7650814	1.0	1132	tags=25%, list=12%, signal=28%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.2060283	-0.87604094	0.90625	0.9302772	1.0	2596	tags=36%, list=28%, signal=49%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		105	-0.18750633	-0.8455739	0.902834	0.9452523	1.0	2640	tags=32%, list=28%, signal=45%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		47	-0.18323314	-0.82863396	0.6955603	0.92717993	1.0	2892	tags=40%, list=31%, signal=58%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		18	-0.27373534	-0.81551445	0.532567	0.9039345	1.0	205	tags=11%, list=2%, signal=11%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		52	-0.25120336	-0.80192304	0.7096115	0.88776815	1.0	1032	tags=21%, list=11%, signal=24%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		19	-0.22885045	-0.79000044	0.71862346	0.87799203	1.0	1981	tags=26%, list=21%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		94	-0.17450005	-0.77371943	0.81906617	0.86497927	1.0	2144	tags=28%, list=23%, signal=35%	
