NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	-0.3360702	-1.2924826	0.027722772	1.0	0.844	1987	tags=32%, list=21%, signal=40%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	82	-0.23335043	-1.2135156	0.20286885	1.0	0.944	1739	tags=23%, list=19%, signal=28%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	-0.26994634	-1.1542517	0.33	1.0	0.969	2362	tags=31%, list=25%, signal=40%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	-0.27988362	-1.1349334	0.2835249	1.0	0.988	1995	tags=30%, list=21%, signal=38%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.2928738	-1.1158341	0.3177388	1.0	1.0	1752	tags=25%, list=19%, signal=30%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	109	-0.29148617	-1.1002526	0.30177516	1.0	1.0	951	tags=19%, list=10%, signal=21%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	150	-0.2865235	-1.0871551	0.32346722	1.0	1.0	1713	tags=26%, list=18%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	161	-0.26194632	-1.0843043	0.35135135	0.8937927	1.0	1899	tags=27%, list=20%, signal=34%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	-0.34689173	-1.0391753	0.33333334	0.9800876	1.0	1622	tags=30%, list=17%, signal=36%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.21518661	-1.0277379	0.402834	0.92494595	1.0	1638	tags=22%, list=18%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	-0.23145646	-1.0105064	0.44466403	0.89971685	1.0	2383	tags=32%, list=26%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	143	-0.24279892	-0.9825789	0.5235294	0.9093308	1.0	2637	tags=33%, list=28%, signal=45%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	75	-0.20436168	-0.9693679	0.5308151	0.8935087	1.0	2431	tags=27%, list=26%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.25922406	-0.9586589	0.5949612	0.86612666	1.0	2202	tags=35%, list=24%, signal=45%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	60	-0.22423217	-0.92833906	0.61228406	0.91422737	1.0	1349	tags=22%, list=14%, signal=25%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	82	-0.21618658	-0.9128428	0.69455254	0.9020013	1.0	1889	tags=24%, list=20%, signal=30%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	-0.23304923	-0.91003203	0.6422925	0.86021453	1.0	2475	tags=36%, list=27%, signal=49%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.21551852	-0.863734	0.77272725	0.9426523	1.0	1546	tags=19%, list=17%, signal=22%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	151	-0.19517462	-0.8269454	0.8604651	0.9770168	1.0	2060	tags=26%, list=22%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.19777875	-0.8151715	0.76862746	0.9513142	1.0	2344	tags=27%, list=25%, signal=36%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		55	-0.40103763	-0.77369344	0.922	0.9715162	1.0	1851	tags=38%, list=20%, signal=47%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		100	-0.257328	-0.7276067	0.944	0.97968477	1.0	1851	tags=29%, list=20%, signal=36%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		20	-0.22727548	-0.7200974	0.9729207	0.9439009	1.0	1343	tags=20%, list=14%, signal=23%	
