NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	58	-0.444324	-1.7452866	0.0050251256	0.03936868	0.033	1782	tags=34%, list=19%, signal=42%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	102	-0.38436446	-1.6874416	0.0	0.02893687	0.046	1825	tags=34%, list=20%, signal=42%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	152	-0.34683198	-1.6501889	0.0	0.03002039	0.07	1559	tags=28%, list=17%, signal=33%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.36136785	-1.5596895	0.0056657223	0.04818236	0.151	1414	tags=30%, list=15%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	121	-0.3419863	-1.5551044	0.0027322404	0.040549126	0.159	1628	tags=29%, list=18%, signal=35%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	123	-0.33355463	-1.5245715	0.0	0.043529347	0.2	2360	tags=40%, list=25%, signal=53%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	70	-0.35783565	-1.4743207	0.018276762	0.057540346	0.295	2035	tags=37%, list=22%, signal=47%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.40402198	-1.4629935	0.042410713	0.05656625	0.318	2142	tags=42%, list=23%, signal=54%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.37778378	-1.4154611	0.046753246	0.07161562	0.422	1564	tags=28%, list=17%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	-0.3364543	-1.400894	0.025316456	0.0714569	0.456	1888	tags=30%, list=20%, signal=38%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.29155105	-1.2605575	0.096354164	0.18545818	0.821	2186	tags=33%, list=24%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.269192	-1.1768309	0.16020672	0.29753324	0.95	2434	tags=36%, list=26%, signal=48%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.28855637	-1.1441061	0.22380953	0.3326843	0.972	1909	tags=31%, list=21%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.36518925	-1.1104366	0.31509846	0.37662292	0.993	2102	tags=40%, list=23%, signal=52%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	-0.22666144	-1.0195855	0.39118457	0.57233906	1.0	1860	tags=26%, list=20%, signal=33%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	-0.23099673	-1.0129467	0.4250681	0.5550976	1.0	2245	tags=31%, list=24%, signal=41%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.20171472	-0.93829215	0.63829786	0.724049	1.0	2848	tags=33%, list=31%, signal=47%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.21313755	-0.8516505	0.7550505	0.9117316	1.0	1967	tags=26%, list=21%, signal=33%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	76	-0.19525146	-0.8237116	0.8449612	0.9221113	1.0	914	tags=12%, list=10%, signal=13%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.21499641	-0.6352558	0.9287257	1.0	1.0	2033	tags=24%, list=22%, signal=30%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		80	-0.14399165	-0.61675674	0.997543	0.99033326	1.0	2708	tags=30%, list=29%, signal=42%	
