NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	145	0.40806368	1.8800191	0.0	0.015986802	0.012	2642	tags=47%, list=29%, signal=65%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	155	0.36248285	1.6741098	0.0	0.054215815	0.075	1243	tags=23%, list=13%, signal=26%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	138	0.35714093	1.6489371	0.0	0.051073775	0.105	1252	tags=25%, list=14%, signal=28%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	121	0.36286187	1.627665	0.0	0.046045747	0.126	2114	tags=34%, list=23%, signal=43%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	149	0.34579316	1.5995338	0.0	0.045839045	0.152	1673	tags=30%, list=18%, signal=36%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	151	0.31665334	1.4704487	0.0036968577	0.11719618	0.39	2437	tags=36%, list=26%, signal=49%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	106	0.33067682	1.4572339	0.0091743115	0.110559985	0.427	1755	tags=29%, list=19%, signal=36%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.2987385	1.4256757	0.008802817	0.12658918	0.518	2027	tags=30%, list=22%, signal=38%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.3142969	1.3898716	0.02640845	0.1519248	0.617	1154	tags=20%, list=13%, signal=23%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	128	0.286182	1.3043193	0.04275093	0.26704416	0.852	1755	tags=29%, list=19%, signal=35%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.3973915	1.3040798	0.12290503	0.24302502	0.853	1831	tags=42%, list=20%, signal=52%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.330562	1.2595078	0.12185687	0.30734506	0.93	2761	tags=51%, list=30%, signal=72%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	0.35866305	1.255425	0.15830116	0.29210132	0.933	1637	tags=31%, list=18%, signal=37%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.30073822	1.2319471	0.13577981	0.31734595	0.963	2201	tags=33%, list=24%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	0.3957663	1.2193677	0.18484288	0.32179025	0.977	1781	tags=43%, list=19%, signal=53%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	157	0.2500948	1.1601315	0.15357143	0.43597183	0.992	780	tags=14%, list=8%, signal=15%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	0.2584234	1.1351025	0.21428572	0.4787893	0.999	1687	tags=25%, list=18%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	0.24125136	1.1275895	0.20111732	0.47283772	0.999	1786	tags=25%, list=19%, signal=31%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	50	0.29105338	1.1209898	0.26285714	0.46359247	0.999	1650	tags=26%, list=18%, signal=31%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.2201956	1.0525894	0.33157894	0.63643867	1.0	2339	tags=31%, list=25%, signal=40%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		137	0.22356318	1.022978	0.40550458	0.6983162	1.0	1444	tags=20%, list=16%, signal=23%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		97	0.22864053	1.0002099	0.45588234	0.7381296	1.0	613	tags=12%, list=7%, signal=13%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		76	0.23722048	0.9995779	0.45167285	0.70762026	1.0	1094	tags=16%, list=12%, signal=18%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		49	0.2561525	0.97766113	0.4944238	0.74741167	1.0	1924	tags=24%, list=21%, signal=31%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		101	0.21633694	0.9501713	0.5469925	0.8001595	1.0	2451	tags=26%, list=27%, signal=35%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	0.24682154	0.9379132	0.528777	0.8071468	1.0	1759	tags=22%, list=19%, signal=27%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		104	0.21172865	0.931531	0.5860806	0.7965978	1.0	1501	tags=17%, list=16%, signal=20%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		55	0.22264138	0.8761537	0.6784314	0.9241458	1.0	2319	tags=40%, list=25%, signal=53%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		78	0.20375638	0.8447368	0.7889088	0.97143996	1.0	1426	tags=18%, list=15%, signal=21%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		93	0.1982555	0.84439826	0.7972743	0.9398476	1.0	1890	tags=20%, list=20%, signal=25%	
