NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	0.36481944	1.4465657	0.0	0.69500905	0.414	1470	tags=32%, list=16%, signal=38%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	103	0.34365243	1.439499	0.0	0.3799879	0.463	1657	tags=31%, list=18%, signal=37%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.38875026	1.3983879	0.062135924	0.3577623	0.52	1958	tags=32%, list=21%, signal=41%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	79	0.3156373	1.3257514	0.041666668	0.49155584	0.674	1750	tags=25%, list=19%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.29539132	1.2966095	0.07058824	0.46515965	0.741	2205	tags=34%, list=24%, signal=44%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.38833377	1.2612046	0.12645914	0.51488554	0.804	1078	tags=29%, list=12%, signal=33%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	0.32595554	1.2547742	0.12450593	0.4689629	0.819	1465	tags=26%, list=16%, signal=30%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	96	0.31271896	1.2438166	0.106	0.44871828	0.856	2588	tags=43%, list=28%, signal=59%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	0.2923309	1.2387203	0.019762846	0.41167784	0.868	2616	tags=35%, list=28%, signal=49%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	0.37516606	1.2205966	0.20404041	0.40848878	0.893	1798	tags=25%, list=19%, signal=31%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	0.3799149	1.1931216	0.16135459	0.42524174	0.918	916	tags=22%, list=10%, signal=25%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	45	0.2855511	1.1539755	0.18816067	0.5091005	0.931	1657	tags=24%, list=18%, signal=30%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	119	0.26164296	1.1407112	0.2951128	0.49478093	0.941	2026	tags=29%, list=22%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	144	0.24665618	1.093327	0.23408625	0.59680545	0.973	1401	tags=19%, list=15%, signal=23%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.30134225	1.0740973	0.38976377	0.6164424	0.986	2286	tags=34%, list=25%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	0.26060447	1.0493388	0.31390977	0.6449569	0.986	1461	tags=24%, list=16%, signal=29%	
