NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	149	-0.36678982	-1.35083	0.06896552	1.0	0.586	2441	tags=39%, list=26%, signal=52%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	94	-0.27575213	-1.1527288	0.27272728	1.0	0.914	2189	tags=33%, list=23%, signal=43%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	131	-0.24981385	-1.1346346	0.22920893	1.0	0.931	856	tags=15%, list=9%, signal=17%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	-0.28811485	-1.1236465	0.32938856	1.0	0.931	2765	tags=40%, list=29%, signal=56%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	81	-0.29411733	-1.1167332	0.25	1.0	0.931	1835	tags=28%, list=20%, signal=35%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	97	-0.25718328	-1.0770838	0.31440163	1.0	0.964	2134	tags=28%, list=23%, signal=36%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.24929774	-1.0657816	0.35211268	1.0	0.964	2423	tags=32%, list=26%, signal=42%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	-0.20998621	-0.97523296	0.4651163	1.0	1.0	2436	tags=33%, list=26%, signal=44%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	158	-0.23247957	-0.9750892	0.5206612	1.0	1.0	1478	tags=20%, list=16%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	62	-0.24241854	-0.9515689	0.52112675	1.0	1.0	2918	tags=44%, list=31%, signal=63%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	-0.29279566	-0.94273084	0.52642274	1.0	1.0	2934	tags=41%, list=31%, signal=59%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	104	-0.3141272	-0.93914336	0.50829875	1.0	1.0	2587	tags=41%, list=28%, signal=56%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.22613889	-0.93905306	0.53629035	1.0	1.0	1572	tags=21%, list=17%, signal=25%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	-0.25937602	-0.9227156	0.6330645	1.0	1.0	1721	tags=28%, list=18%, signal=33%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	58	-0.4391769	-0.92002493	0.6721992	0.9472365	1.0	2331	tags=52%, list=25%, signal=68%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	154	-0.21935639	-0.91165173	0.5535714	0.90859944	1.0	2258	tags=29%, list=24%, signal=37%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.21540168	-0.8779639	0.65882355	0.93601596	1.0	1808	tags=22%, list=19%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	175	-0.22910817	-0.8362996	0.57654077	0.9999031	1.0	2349	tags=31%, list=25%, signal=40%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.20868458	-0.8100979	0.73333335	1.0	1.0	2268	tags=27%, list=24%, signal=35%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	-0.19765463	-0.8054063	0.81504065	0.96521413	1.0	886	tags=13%, list=9%, signal=14%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		75	-0.18100229	-0.7591157	0.7883065	0.9970395	1.0	2706	tags=29%, list=29%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		71	-0.20324332	-0.7565382	0.9526749	0.96090966	1.0	2090	tags=28%, list=22%, signal=36%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		85	-0.18411429	-0.7265613	0.8498024	0.9636584	1.0	2309	tags=27%, list=25%, signal=36%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		48	-0.18999104	-0.7178074	0.92110455	0.92951876	1.0	1995	tags=23%, list=21%, signal=29%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		21	-0.209927	-0.63819224	0.92814374	0.9622824	1.0	1033	tags=19%, list=11%, signal=21%	
