NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	148	-0.34708288	-1.2811017	0.14285715	1.0	0.779	2072	tags=35%, list=22%, signal=45%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.28611985	-1.1558528	0.26900584	1.0	0.955	1749	tags=28%, list=19%, signal=34%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	156	-0.31408682	-1.1528368	0.2815735	1.0	0.955	1814	tags=31%, list=20%, signal=38%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	99	-0.36329252	-1.0534852	0.34146342	1.0	0.986	1873	tags=36%, list=20%, signal=45%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	156	-0.27410987	-1.0362434	0.36418512	1.0	1.0	1878	tags=27%, list=20%, signal=33%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	77	-0.23021618	-1.0051556	0.40433925	1.0	1.0	1889	tags=22%, list=20%, signal=27%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.2933668	-0.99592686	0.37578288	1.0	1.0	2368	tags=39%, list=26%, signal=52%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	93	-0.24947254	-0.97557354	0.6087824	1.0	1.0	2088	tags=30%, list=23%, signal=38%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	-0.22498289	-0.9283322	0.54527164	1.0	1.0	2077	tags=27%, list=22%, signal=34%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	-0.24652025	-0.90342844	0.6044625	1.0	1.0	1507	tags=25%, list=16%, signal=30%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	-0.19484739	-0.87718517	0.6559829	1.0	1.0	757	tags=13%, list=8%, signal=14%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	78	-0.21496503	-0.8453956	0.69609857	1.0	1.0	2202	tags=31%, list=24%, signal=40%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	55	-0.41156006	-0.8442165	0.7723577	1.0	1.0	2030	tags=44%, list=22%, signal=56%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	161	-0.24964648	-0.8408931	0.83501005	1.0	1.0	1724	tags=27%, list=19%, signal=33%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	150	-0.21104676	-0.8306402	0.6929134	0.97336864	1.0	1556	tags=19%, list=17%, signal=23%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.19669409	-0.81912273	0.8052209	0.9340153	1.0	1787	tags=22%, list=19%, signal=27%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	-0.17684981	-0.79445094	0.76374745	0.932286	1.0	1751	tags=20%, list=19%, signal=24%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	-0.2540704	-0.7728689	0.85714287	0.89934474	1.0	1391	tags=24%, list=15%, signal=28%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	-0.15586385	-0.69582623	0.9325153	0.92626137	1.0	2815	tags=33%, list=30%, signal=47%	
