NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.54311854	1.6827364	0.0	0.04271428	0.015	1528	tags=43%, list=17%, signal=52%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	120	0.48561573	1.6626793	0.0	0.029857138	0.032	1405	tags=38%, list=16%, signal=45%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	99	0.48239422	1.5837643	0.0	0.0746333	0.185	1659	tags=43%, list=19%, signal=53%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	157	0.42556182	1.5034049	0.025948104	0.11123475	0.26	1548	tags=36%, list=17%, signal=42%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	120	0.32098392	1.4751155	0.0	0.12344201	0.301	1329	tags=24%, list=15%, signal=28%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	144	0.33319315	1.3693789	0.032	0.22697467	0.605	1621	tags=31%, list=18%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.37603277	1.304047	0.15068494	0.35719138	0.787	2481	tags=48%, list=28%, signal=65%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	67	0.37306738	1.3005685	0.07874016	0.32228923	0.81	971	tags=25%, list=11%, signal=28%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	98	0.29083446	1.2616006	0.09055877	0.36395285	0.914	700	tags=16%, list=8%, signal=18%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	103	0.30175185	1.2201289	0.20436507	0.41062447	0.972	1111	tags=21%, list=13%, signal=24%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	105	0.29880393	1.2174537	0.19880715	0.3830313	0.972	633	tags=17%, list=7%, signal=18%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	74	0.3266503	1.1903126	0.16634052	0.40326765	0.987	349	tags=18%, list=4%, signal=18%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	45	0.29450336	1.1801276	0.17221135	0.3960767	0.987	648	tags=20%, list=7%, signal=21%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	91	0.29047263	1.1639218	0.1920792	0.39215633	0.987	1338	tags=22%, list=15%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	151	0.26876706	1.1413542	0.19642857	0.41362706	0.987	668	tags=17%, list=8%, signal=18%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	0.23971155	1.1325384	0.23260437	0.4009444	0.987	1022	tags=17%, list=12%, signal=19%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	173	0.3039374	1.1149883	0.30214426	0.4023247	0.987	2036	tags=30%, list=23%, signal=38%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	0.3081193	1.1095655	0.1497006	0.38673392	0.987	2332	tags=40%, list=26%, signal=53%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	183	0.28767976	1.0742239	0.45348838	0.42824152	0.987	2950	tags=44%, list=33%, signal=65%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	118	0.26202118	1.0487179	0.37125748	0.45143646	0.987	2946	tags=46%, list=33%, signal=68%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		44	0.2544235	0.9891469	0.537428	0.5547938	1.0	385	tags=14%, list=4%, signal=14%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		42	0.23078384	0.887301	0.7177419	0.7091946	1.0	1758	tags=24%, list=20%, signal=30%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		35	0.26793894	0.88375384	0.6214575	0.6838649	1.0	425	tags=11%, list=5%, signal=12%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		136	0.21580476	0.86630446	0.6421663	0.6832535	1.0	1981	tags=27%, list=22%, signal=34%	
