NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	-0.5442067	-1.6756215	0.0	0.028486481	0.017	1478	tags=44%, list=17%, signal=52%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	100	-0.44695884	-1.4872497	0.0	0.24813227	0.317	2382	tags=51%, list=27%, signal=69%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	123	-0.310605	-1.48138	0.0	0.17775501	0.337	584	tags=16%, list=7%, signal=17%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	-0.30182928	-1.4215103	0.09638554	0.19209863	0.48	1018	tags=23%, list=11%, signal=25%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	43	-0.36853996	-1.395983	0.028397566	0.20811865	0.593	700	tags=23%, list=8%, signal=25%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	67	-0.40967956	-1.3902687	0.0	0.18473387	0.593	1062	tags=34%, list=12%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	119	-0.38090095	-1.3643212	0.05788423	0.20022115	0.657	2498	tags=44%, list=28%, signal=60%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	75	-0.36688396	-1.3612276	0.0	0.18418564	0.67	1689	tags=41%, list=19%, signal=51%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	157	-0.32076004	-1.3334029	0.0	0.20408957	0.776	1211	tags=25%, list=14%, signal=28%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	-0.40352234	-1.258767	0.18540435	0.30267698	0.843	2685	tags=54%, list=30%, signal=77%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	150	-0.29138696	-1.2491966	0.0	0.28915796	0.855	1647	tags=29%, list=18%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.27850255	-1.2077485	0.15876289	0.32977167	0.89	1312	tags=25%, list=15%, signal=29%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	-0.27000174	-1.2051907	0.08527132	0.31272	0.912	2563	tags=36%, list=29%, signal=50%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	65	-0.29904938	-1.2011299	0.062374245	0.30257097	0.926	1552	tags=31%, list=17%, signal=37%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	41	-0.2646644	-1.1278334	0.22396857	0.42966288	1.0	327	tags=12%, list=4%, signal=13%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	-0.30912513	-1.1251445	0.34410647	0.4098015	1.0	1681	tags=32%, list=19%, signal=40%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	92	-0.26032028	-1.117848	0.30152673	0.40166184	1.0	1284	tags=22%, list=14%, signal=25%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	58	-0.3210325	-1.1107743	0.17718941	0.39918178	1.0	1846	tags=38%, list=21%, signal=47%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	-0.28710827	-1.1058996	0.30165288	0.3864766	1.0	2568	tags=38%, list=29%, signal=53%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	35	-0.32396427	-1.0950488	0.2704918	0.3862929	1.0	2090	tags=40%, list=23%, signal=52%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		92	-0.25757906	-1.077203	0.23575638	0.4014253	1.0	700	tags=14%, list=8%, signal=15%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		145	-0.20894358	-1.0724931	0.29253113	0.39131472	1.0	1125	tags=17%, list=13%, signal=19%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		55	-0.20737958	-0.90942115	0.70542634	0.6661388	1.0	1622	tags=24%, list=18%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		173	-0.18788464	-0.7759702	0.7789256	0.8703256	1.0	2486	tags=29%, list=28%, signal=39%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		23	-0.2041213	-0.6474892	0.9443255	0.95987195	1.0	1413	tags=22%, list=16%, signal=26%	
