NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	159	0.4471252	1.4371506	0.0	0.55627984	0.308	1483	tags=34%, list=16%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	147	0.49385557	1.4107943	0.0	0.34541538	0.36	1977	tags=44%, list=21%, signal=55%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.287412	1.4044256	0.0	0.26750502	0.36	719	tags=16%, list=8%, signal=17%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	0.4339375	1.3755803	0.112426035	0.23785098	0.441	2210	tags=42%, list=24%, signal=54%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	163	0.37366837	1.3689744	0.0	0.21405847	0.441	1464	tags=29%, list=16%, signal=34%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	161	0.4518704	1.3671699	0.11875	0.18704881	0.441	1447	tags=33%, list=15%, signal=38%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.42709374	1.1559607	0.09664694	0.6329073	0.956	3045	tags=52%, list=32%, signal=77%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.29835013	1.1391798	0.21568628	0.6134389	1.0	2592	tags=40%, list=28%, signal=54%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	0.24005981	1.086928	0.19694072	0.7128393	1.0	890	tags=17%, list=9%, signal=18%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	125	0.24238974	1.0460888	0.29681274	0.7716098	1.0	2155	tags=28%, list=23%, signal=36%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	96	0.21854146	1.0243617	0.24906367	0.7477198	1.0	1274	tags=20%, list=14%, signal=23%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.29909796	1.0106171	0.48023716	0.7493579	1.0	2460	tags=43%, list=26%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	165	0.21410318	0.9834067	0.436853	0.79836655	1.0	2482	tags=30%, list=26%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	128	0.2114206	0.97616726	0.43541667	0.76001376	1.0	2730	tags=34%, list=29%, signal=47%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	48	0.3014789	0.9679325	0.29942417	0.72654516	1.0	458	tags=17%, list=5%, signal=17%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	0.18678017	0.87818784	0.5768463	0.8835714	1.0	1346	tags=17%, list=14%, signal=19%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	110	0.1978273	0.8323427	0.62674654	0.91003996	1.0	2552	tags=29%, list=27%, signal=39%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	80	0.18871363	0.7637988	0.7944112	1.0	1.0	2605	tags=34%, list=28%, signal=46%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	106	0.16892602	0.75390255	0.89641434	0.97777843	1.0	3127	tags=36%, list=33%, signal=53%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	0.17894961	0.74302024	0.8962076	0.93723124	1.0	1625	tags=18%, list=17%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		51	0.19027454	0.6979345	0.8927835	0.9341122	1.0	2180	tags=27%, list=23%, signal=36%	
