NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	163	0.48668176	1.6665442	0.0	0.047999978	0.0	1165	tags=26%, list=12%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.4911378	1.579513	0.0	0.060885705	0.089	772	tags=26%, list=8%, signal=28%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	149	0.6710836	1.5562747	0.0	0.06785237	0.132	1597	tags=55%, list=17%, signal=65%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	144	0.6564606	1.5420623	0.0	0.062889226	0.132	1646	tags=56%, list=17%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	162	0.6378593	1.5371556	0.0	0.059911408	0.132	1734	tags=47%, list=18%, signal=57%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	159	0.6440152	1.5343511	0.0	0.057926137	0.132	1727	tags=50%, list=18%, signal=60%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.3639307	1.4477408	0.0	0.096100196	0.294	2911	tags=47%, list=31%, signal=67%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.31148696	1.4255387	0.0	0.093309	0.294	1597	tags=23%, list=17%, signal=27%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.3740036	1.35668	0.08958333	0.14053237	0.535	2623	tags=39%, list=28%, signal=53%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	165	0.34277627	1.3051981	0.3018868	0.17611793	0.695	2163	tags=35%, list=23%, signal=44%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	79	0.30705994	1.2921634	0.0	0.17752615	0.695	1940	tags=30%, list=21%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	128	0.30986336	1.2483935	0.0	0.20594166	0.738	2150	tags=32%, list=23%, signal=41%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	107	0.26903206	1.2192419	0.105932206	0.22724523	0.802	2186	tags=33%, list=23%, signal=42%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	107	0.27688137	1.2001929	0.0	0.23038857	0.802	988	tags=16%, list=11%, signal=18%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	124	0.29514238	1.1835141	0.10183299	0.24053672	0.896	3138	tags=41%, list=33%, signal=61%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	0.24300547	1.1630474	0.091295116	0.23394339	0.941	1856	tags=27%, list=20%, signal=34%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.28000125	1.1590347	0.08249497	0.22499281	0.941	901	tags=15%, list=10%, signal=17%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	0.2771629	1.1220815	0.3018868	0.27413464	0.941	1194	tags=24%, list=13%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.2683409	1.05359	0.40899795	0.3950597	1.0	2694	tags=33%, list=29%, signal=45%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.3419305	1.038406	0.4091858	0.41960004	1.0	1342	tags=33%, list=14%, signal=39%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		76	0.2788027	0.9968729	0.3944563	0.48741046	1.0	1902	tags=28%, list=20%, signal=34%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		49	0.23851815	0.8420584	0.71570575	0.76613796	1.0	1321	tags=14%, list=14%, signal=17%	
