NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.3796121	1.3850976	0.029126214	0.7562898	0.408	1890	tags=32%, list=20%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	150	0.31267393	1.3345834	0.028957529	0.641965	0.545	2317	tags=37%, list=25%, signal=49%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	0.383586	1.3165727	0.035785288	0.4907195	0.588	459	tags=15%, list=5%, signal=16%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	125	0.2903697	1.1740059	0.19291338	1.0	0.882	1985	tags=30%, list=21%, signal=37%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	108	0.30576968	1.1707803	0.15939279	0.92923504	0.882	1125	tags=22%, list=12%, signal=25%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	121	0.26780602	1.1617501	0.05952381	0.8267016	0.898	1705	tags=26%, list=18%, signal=31%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.33891156	1.1569918	0.20696722	0.7351479	0.91	1185	tags=20%, list=13%, signal=23%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	0.31710917	1.1548775	0.20528455	0.64929193	0.91	985	tags=20%, list=11%, signal=22%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	49	0.33177754	1.1514266	0.18832392	0.5873512	0.91	2152	tags=39%, list=23%, signal=50%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.28726465	1.1195074	0.20628683	0.6251791	0.951	2431	tags=35%, list=26%, signal=47%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	0.24861415	1.0954747	0.23745173	0.6704669	0.971	985	tags=21%, list=11%, signal=23%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	47	0.26526946	1.0486159	0.39257812	0.778649	0.984	2319	tags=30%, list=25%, signal=40%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	0.26433894	1.0440892	0.29783037	0.7309096	0.984	1134	tags=21%, list=12%, signal=24%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	79	0.24156393	1.0252023	0.41153082	0.7504935	0.984	2436	tags=32%, list=26%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	97	0.24919777	1.017626	0.3802817	0.71511847	0.984	2319	tags=33%, list=25%, signal=44%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	104	0.23785827	1.0010151	0.47093022	0.7205709	0.984	2331	tags=34%, list=25%, signal=44%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	100	0.2431753	0.99474084	0.55	0.6929822	0.984	2594	tags=35%, list=28%, signal=48%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	105	0.22900225	0.96299475	0.58285713	0.7510629	1.0	1761	tags=23%, list=19%, signal=28%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	0.2073339	0.9437673	0.5010267	0.768357	1.0	2151	tags=25%, list=23%, signal=32%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	0.21930891	0.931945	0.5600815	0.76199764	1.0	1727	tags=28%, list=19%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		176	0.1999918	0.89536065	0.6124031	0.8112679	1.0	1998	tags=25%, list=22%, signal=31%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		24	0.25247505	0.88071597	0.67248064	0.81298196	1.0	2506	tags=42%, list=27%, signal=57%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		48	0.24629736	0.8805491	0.6728016	0.77828693	1.0	1906	tags=33%, list=21%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		46	0.21015024	0.880431	0.7367347	0.7468049	1.0	1659	tags=22%, list=18%, signal=26%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		77	0.1740944	0.8210332	0.8388998	0.8533481	1.0	1394	tags=14%, list=15%, signal=17%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		153	0.19151534	0.78996193	0.83960396	0.87537724	1.0	1633	tags=20%, list=18%, signal=23%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		144	0.16156451	0.70491445	0.913215	0.9422147	1.0	2314	tags=26%, list=25%, signal=35%	
