NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	70	-0.4767702	-1.4933232	0.0	0.83844346	0.354	1994	tags=39%, list=21%, signal=49%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.30755702	-1.2837898	0.111561865	1.0	0.755	2360	tags=35%, list=25%, signal=47%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.4407815	-1.2208223	0.10978044	1.0	0.906	1362	tags=33%, list=15%, signal=39%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	155	-0.32112053	-1.2021117	0.30919766	1.0	0.906	1959	tags=34%, list=21%, signal=42%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	122	-0.35040277	-1.1733218	0.3025048	1.0	0.906	1914	tags=29%, list=21%, signal=36%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.34061477	-1.1686023	0.10784314	0.9478125	0.906	2205	tags=35%, list=24%, signal=46%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.32773945	-1.0841784	0.20766129	1.0	1.0	2375	tags=38%, list=26%, signal=51%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	127	-0.256144	-1.083116	0.41291586	1.0	1.0	1477	tags=23%, list=16%, signal=27%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	47	-0.2902726	-1.0616896	0.18458419	1.0	1.0	2316	tags=34%, list=25%, signal=45%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.39758953	-1.0510038	0.304	0.9442681	1.0	333	tags=18%, list=4%, signal=18%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	-0.24450138	-1.0055742	0.49203187	0.99084014	1.0	2329	tags=27%, list=25%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.29566497	-0.99297947	0.43083003	0.9760686	1.0	2537	tags=36%, list=27%, signal=48%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.4076517	-0.9903624	0.4891945	0.9087414	1.0	1481	tags=40%, list=16%, signal=47%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	76	-0.21025515	-0.9339607	0.5947581	0.9933752	1.0	2056	tags=22%, list=22%, signal=28%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	-0.26876146	-0.93115467	0.6086106	0.933873	1.0	1792	tags=25%, list=19%, signal=31%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	83	-0.24573864	-0.9274256	0.49604744	0.8854694	1.0	2691	tags=42%, list=29%, signal=59%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	96	-0.23775852	-0.911767	0.605317	0.85486674	1.0	1176	tags=16%, list=13%, signal=18%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	-0.2133771	-0.88611513	0.6129666	0.85395545	1.0	2132	tags=26%, list=23%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	-0.22575921	-0.84523934	0.610687	0.8963498	1.0	2052	tags=29%, list=22%, signal=36%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	-0.25486648	-0.8118307	0.61290324	0.92538667	1.0	2036	tags=28%, list=22%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		106	-0.20920692	-0.80798393	0.8043478	0.8928172	1.0	2147	tags=25%, list=23%, signal=32%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		60	-0.1964124	-0.7148634	0.7847358	0.9627865	1.0	1859	tags=25%, list=20%, signal=31%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		137	-0.20630406	-0.70201117	0.5924453	0.95014733	1.0	1624	tags=18%, list=17%, signal=22%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		103	-0.2184427	-0.633782	0.5717017	0.9670783	1.0	2338	tags=26%, list=25%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		57	-0.252573	-0.62095416	0.59302324	0.9436656	1.0	2080	tags=26%, list=22%, signal=34%	
