NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	70	-0.43000436	-1.5259748	0.0	0.61878717	0.293	1623	tags=36%, list=17%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	119	-0.40379474	-1.4721768	0.08812261	0.5111631	0.419	2242	tags=43%, list=24%, signal=56%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	123	-0.3693642	-1.4604838	0.0	0.36792934	0.431	1827	tags=31%, list=20%, signal=38%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	-0.36275184	-1.4135896	0.022088353	0.39221215	0.503	1254	tags=23%, list=14%, signal=27%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.43333602	-1.401961	0.10759494	0.3515955	0.566	2495	tags=54%, list=27%, signal=73%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.3409955	-1.3604875	0.06944445	0.4074587	0.653	1724	tags=32%, list=19%, signal=39%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	151	-0.3613969	-1.3340268	0.10759494	0.40072802	0.697	1490	tags=30%, list=16%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	-0.30691496	-1.3033587	0.027542373	0.42208695	0.791	2792	tags=47%, list=30%, signal=67%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.4334969	-1.302062	0.1563786	0.37957582	0.791	2291	tags=44%, list=25%, signal=59%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.31960922	-1.2602371	0.11382114	0.4377418	0.863	2329	tags=35%, list=25%, signal=46%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.4277081	-1.2410976	0.19193858	0.43689364	0.863	1933	tags=45%, list=21%, signal=57%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.3176086	-1.1827642	0.22474226	0.51965487	0.951	2426	tags=40%, list=26%, signal=54%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	100	-0.38604724	-1.1780401	0.22626263	0.49338025	0.961	2577	tags=46%, list=28%, signal=63%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	77	-0.28390098	-1.1218824	0.21472393	0.5977822	0.961	379	tags=13%, list=4%, signal=13%	
