NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	124	-0.27430972	-1.2744156	0.046875	1.0	0.86	1960	tags=31%, list=21%, signal=39%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	123	-0.27258828	-1.2516818	0.08315098	0.6192019	0.913	1811	tags=25%, list=20%, signal=31%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.26518902	-1.1756843	0.15170941	0.6757706	0.986	2504	tags=34%, list=27%, signal=46%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	-0.31756708	-1.1623089	0.22540984	0.55395687	0.989	1818	tags=27%, list=20%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	70	-0.27112812	-1.1210246	0.26190478	0.5677069	0.998	1712	tags=27%, list=19%, signal=33%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.2524467	-1.0589712	0.3529412	0.66568166	1.0	1851	tags=26%, list=20%, signal=33%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	152	-0.20823136	-0.99164987	0.46943232	0.8062216	1.0	968	tags=14%, list=10%, signal=16%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.2320202	-0.98990154	0.46710527	0.7112628	1.0	2448	tags=33%, list=27%, signal=45%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	56	-0.23513652	-0.9440697	0.5770065	0.7724255	1.0	1901	tags=27%, list=21%, signal=34%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	101	-0.20931102	-0.92686427	0.6517094	0.74313647	1.0	1403	tags=21%, list=15%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.17632978	-0.7180623	0.94181037	1.0	1.0	2590	tags=36%, list=28%, signal=50%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	-0.17629562	-0.53337204	0.9857724	0.9986232	1.0	2317	tags=24%, list=25%, signal=31%	
