NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.3543964	-1.3451011	0.04621849	1.0	0.59	2073	tags=42%, list=23%, signal=54%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	48	-0.3546486	-1.3235471	0.027777778	0.84829557	0.661	2050	tags=44%, list=22%, signal=56%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	161	-0.33060735	-1.3070023	0.12765957	0.6574238	0.681	2569	tags=43%, list=28%, signal=59%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.29272786	-1.2482404	0.2	0.8347805	0.847	1786	tags=26%, list=19%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.2920145	-1.2115595	0.23260869	0.8546397	0.882	1385	tags=25%, list=15%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	154	-0.23557352	-1.1718878	0.14256619	0.87960887	0.916	1718	tags=25%, list=19%, signal=31%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	150	-0.2823018	-1.1373656	0.24698795	0.9048955	0.916	1896	tags=29%, list=21%, signal=36%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	-0.27048013	-1.0957261	0.3207547	0.9676618	0.971	2392	tags=34%, list=26%, signal=45%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	124	-0.22241011	-1.0563684	0.37263158	1.0	0.971	1599	tags=23%, list=17%, signal=27%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	108	-0.21129707	-1.0267272	0.32997987	1.0	0.982	1139	tags=19%, list=12%, signal=21%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	79	-0.18696061	-0.995824	0.5097276	1.0	0.982	1759	tags=22%, list=19%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	149	-0.20322996	-0.9784737	0.54211664	1.0	1.0	2150	tags=29%, list=23%, signal=37%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	157	-0.1933104	-0.94494355	0.6544715	1.0	1.0	1328	tags=17%, list=14%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	-0.22557507	-0.94013846	0.5373444	1.0	1.0	1126	tags=17%, list=12%, signal=19%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.26086596	-0.93757564	0.58019805	1.0	1.0	481	tags=15%, list=5%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	104	-0.20282656	-0.9165386	0.65030676	1.0	1.0	1964	tags=27%, list=21%, signal=34%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	94	-0.22544521	-0.9000038	0.70238096	1.0	1.0	1669	tags=23%, list=18%, signal=28%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	102	-0.28733256	-0.8918886	0.71370965	1.0	1.0	2712	tags=44%, list=29%, signal=62%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	98	-0.16589546	-0.8507007	0.8172269	1.0	1.0	2490	tags=30%, list=27%, signal=40%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.20955665	-0.8318771	0.8043478	1.0	1.0	409	tags=9%, list=4%, signal=10%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		57	-0.36888012	-0.8169338	0.7944112	1.0	1.0	3121	tags=56%, list=34%, signal=84%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		78	-0.20261791	-0.8064078	0.80730224	1.0	1.0	1172	tags=17%, list=13%, signal=19%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		176	-0.18200284	-0.80418575	0.8320158	1.0	1.0	2556	tags=32%, list=28%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		37	-0.22819485	-0.766951	0.8997868	1.0	1.0	2163	tags=35%, list=23%, signal=46%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		78	-0.1615085	-0.73910636	0.8922495	1.0	1.0	2550	tags=32%, list=28%, signal=44%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		145	-0.14736483	-0.7075678	0.98259187	1.0	1.0	562	tags=8%, list=6%, signal=9%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		79	-0.16028553	-0.61025846	0.98105264	1.0	1.0	2685	tags=32%, list=29%, signal=44%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	-0.16812491	-0.50075465	0.9823875	0.9989375	1.0	3149	tags=41%, list=34%, signal=62%	
