NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.39168257	-1.5270635	0.0	0.4953985	0.227	1113	tags=33%, list=12%, signal=38%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.41030684	-1.5218478	0.0	0.25915763	0.238	1901	tags=34%, list=21%, signal=42%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.40419066	-1.3928741	0.055888224	0.4579857	0.551	2174	tags=38%, list=24%, signal=50%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	121	-0.38663885	-1.3173195	0.18962076	0.58141005	0.776	1342	tags=26%, list=15%, signal=30%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	149	-0.3744382	-1.2955654	0.06288032	0.5252763	0.819	1955	tags=36%, list=21%, signal=44%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	-0.32255545	-1.282515	0.08921162	0.47321782	0.829	1727	tags=29%, list=19%, signal=36%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.423084	-1.2816637	0.13827655	0.4162731	0.862	2287	tags=45%, list=25%, signal=60%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	65	-0.3607676	-1.2754147	0.1002004	0.38049516	0.877	1357	tags=26%, list=15%, signal=30%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	124	-0.32385835	-1.2694398	0.0720339	0.34814087	0.877	2114	tags=31%, list=23%, signal=39%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.39060578	-1.1982183	0.11464968	0.46824	0.972	1077	tags=25%, list=12%, signal=28%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	43	-0.30279803	-1.188189	0.0704501	0.44870985	0.972	1345	tags=21%, list=15%, signal=24%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	100	-0.3778195	-1.1254593	0.33826637	0.53774196	1.0	2509	tags=44%, list=27%, signal=60%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	92	-0.29848263	-1.1101167	0.28450108	0.52531236	1.0	1357	tags=24%, list=15%, signal=28%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	-0.25512135	-1.0879265	0.31041667	0.5338177	1.0	2078	tags=29%, list=23%, signal=37%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.26892725	-1.0607026	0.39078155	0.5455716	1.0	2549	tags=38%, list=28%, signal=52%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	75	-0.21271418	-0.98124623	0.49583334	0.6525013	1.0	544	tags=11%, list=6%, signal=11%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	136	-0.2259006	-0.97525275	0.4164859	0.631148	1.0	2555	tags=32%, list=28%, signal=44%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	-0.20044854	-0.91986465	0.5677966	0.7144108	1.0	2143	tags=28%, list=23%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	59	-0.23557271	-0.8781983	0.704918	0.7429175	1.0	2037	tags=27%, list=22%, signal=35%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	-0.37700173	-0.8438635	0.6899384	0.7600722	1.0	2543	tags=46%, list=28%, signal=63%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	-0.25886506	-0.7653098	0.7095436	0.8452765	1.0	2594	tags=41%, list=28%, signal=57%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		175	-0.19452828	-0.74103147	0.6581197	0.83827907	1.0	2513	tags=33%, list=27%, signal=44%	
