NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	100	0.36975047	1.3463817	0.064257026	1.0	0.638	1975	tags=37%, list=21%, signal=46%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	78	0.31361938	1.3211468	0.08547009	0.8912779	0.724	1806	tags=27%, list=19%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	147	0.33159518	1.3174009	0.12244898	0.61530423	0.733	1315	tags=24%, list=14%, signal=28%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	107	0.29451764	1.2633382	0.06732673	0.7083546	0.841	2273	tags=35%, list=24%, signal=45%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	129	0.31248832	1.212159	0.10810811	0.7546079	0.891	2026	tags=33%, list=22%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	49	0.35534602	1.1793537	0.20449898	0.75484025	0.912	1173	tags=22%, list=12%, signal=26%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.30491233	1.1648762	0.2184874	0.6871809	0.922	3569	tags=57%, list=38%, signal=91%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	152	0.26140413	1.1578842	0.24335378	0.616345	0.922	1508	tags=25%, list=16%, signal=29%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.36025533	1.1260904	0.28370222	0.6441035	0.922	2720	tags=58%, list=29%, signal=82%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	51	0.35663918	1.1102623	0.29795918	0.62355417	0.922	2597	tags=45%, list=28%, signal=62%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	139	0.26146555	1.1012357	0.2007874	0.59218264	0.922	2127	tags=29%, list=23%, signal=38%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	0.32068142	1.0814906	0.35222673	0.60890096	0.973	1914	tags=35%, list=20%, signal=44%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	125	0.27079397	1.0294496	0.35546038	0.6960359	0.986	1470	tags=21%, list=16%, signal=24%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	106	0.27367687	1.0088831	0.43887776	0.6891033	1.0	2543	tags=35%, list=27%, signal=47%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.2531886	0.9865551	0.4805726	0.6997727	1.0	2817	tags=33%, list=30%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.25089058	0.9363364	0.5683594	0.76959383	1.0	1466	tags=22%, list=16%, signal=26%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	0.22413345	0.9181838	0.60784316	0.7734266	1.0	1408	tags=21%, list=15%, signal=25%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.22518596	0.89614403	0.55241936	0.77948445	1.0	2255	tags=29%, list=24%, signal=38%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	0.25024697	0.8926355	0.53549695	0.7487142	1.0	1106	tags=20%, list=12%, signal=23%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	120	0.1908303	0.85520756	0.72038835	0.78091955	1.0	2263	tags=33%, list=24%, signal=42%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	0.21340074	0.7859905	0.81925344	0.8746408	1.0	1889	tags=22%, list=20%, signal=27%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		109	0.18308721	0.78334063	0.8088531	0.83662885	1.0	2392	tags=29%, list=25%, signal=39%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		18	0.28498682	0.77907044	0.7093496	0.8039675	1.0	2462	tags=39%, list=26%, signal=53%	
