NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	83	-0.44668454	-1.4099548	0.0	0.8656979	0.349	1586	tags=35%, list=17%, signal=42%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	175	-0.3837388	-1.3601699	0.0	0.5866076	0.456	2624	tags=47%, list=28%, signal=65%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	152	-0.3328135	-1.3518832	0.0	0.4100714	0.456	1339	tags=28%, list=14%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.34708512	-1.3505932	0.0	0.32180375	0.456	593	tags=21%, list=6%, signal=22%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	124	-0.36625165	-1.3131291	0.089613035	0.35051742	0.557	804	tags=20%, list=9%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	-0.32931018	-1.2549629	0.096837945	0.44633192	0.745	1311	tags=19%, list=14%, signal=22%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	101	-0.29472503	-1.216335	0.098790325	0.5527216	0.942	636	tags=17%, list=7%, signal=18%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	138	-0.2936444	-1.194282	0.098393574	0.5283903	0.942	2721	tags=44%, list=29%, signal=61%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.3320465	-1.1601951	0.1002045	0.5751733	1.0	731	tags=22%, list=8%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	-0.23504855	-1.1136626	0.30120483	0.7351349	1.0	1917	tags=31%, list=21%, signal=39%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	-0.3076344	-1.111503	0.212	0.678214	1.0	2148	tags=32%, list=23%, signal=42%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	95	-0.29235634	-1.1098295	0.26138613	0.626446	1.0	2645	tags=44%, list=28%, signal=61%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	-0.2966044	-1.1071899	0.29198474	0.6016957	1.0	1861	tags=28%, list=20%, signal=35%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	-0.27180752	-1.0803	0.31	0.62058944	1.0	2906	tags=38%, list=31%, signal=55%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	-0.2642606	-1.0731127	0.49284253	0.596413	1.0	2232	tags=32%, list=24%, signal=41%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	76	-0.2365658	-1.0564181	0.30722892	0.60602087	1.0	1569	tags=21%, list=17%, signal=25%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	102	-0.34292898	-1.0180935	0.402863	0.6631484	1.0	2068	tags=36%, list=22%, signal=46%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	92	-0.24726579	-1.0096118	0.4070248	0.64790154	1.0	2861	tags=47%, list=31%, signal=67%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	57	-0.48917472	-0.98228705	0.5766871	0.6672138	1.0	2720	tags=58%, list=29%, signal=81%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	104	-0.21542044	-0.95044744	0.6089613	0.70125824	1.0	2007	tags=27%, list=21%, signal=34%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		95	-0.21967036	-0.94859093	0.6105675	0.67807895	1.0	1118	tags=16%, list=12%, signal=18%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		19	-0.2752299	-0.9268223	0.58365756	0.70324546	1.0	716	tags=16%, list=8%, signal=17%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		68	-0.26666367	-0.8945144	0.48125	0.7299623	1.0	1861	tags=25%, list=20%, signal=31%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	-0.18709238	-0.85811377	0.69758064	0.7894726	1.0	987	tags=15%, list=11%, signal=17%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		53	-0.25551257	-0.82844746	0.6175869	0.79937315	1.0	1326	tags=26%, list=14%, signal=31%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	-0.24835935	-0.68901396	0.88461536	0.93704164	1.0	241	tags=12%, list=3%, signal=12%	
