NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.4682093	1.644657	0.0	0.050999984	0.0	2593	tags=46%, list=28%, signal=63%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.32973036	1.3334144	0.09090909	1.0	0.687	928	tags=19%, list=10%, signal=21%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	99	0.3410828	1.3325862	0.0	0.89586794	0.687	2953	tags=52%, list=32%, signal=75%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.36145863	1.3246487	0.0	0.6846511	0.687	1225	tags=24%, list=13%, signal=27%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.34447095	1.2477018	0.13087934	0.8381128	0.778	1960	tags=36%, list=21%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	0.3101191	1.2171247	0.08840864	0.8741589	0.896	2303	tags=39%, list=25%, signal=52%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	108	0.30864853	1.2169142	0.102970295	0.75656486	0.896	994	tags=19%, list=11%, signal=22%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	149	0.32836708	1.1935406	0.12774451	0.7465191	0.896	1083	tags=21%, list=12%, signal=23%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	0.25050044	1.1768701	0.09514563	0.7233258	0.94	1596	tags=22%, list=17%, signal=26%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	37	0.37306446	1.1319016	0.27897838	0.7998968	0.94	1298	tags=30%, list=14%, signal=34%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	21	0.36511558	1.121528	0.2804642	0.79398715	0.94	748	tags=24%, list=8%, signal=26%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	161	0.3380805	1.1034864	0.22828282	0.795729	1.0	1804	tags=29%, list=19%, signal=35%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.29763925	1.1003746	0.26476577	0.75096864	1.0	2745	tags=35%, list=29%, signal=49%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	61	0.33407888	1.0984253	0.28425357	0.7009708	1.0	1351	tags=30%, list=14%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	0.2992734	1.0944713	0.2422998	0.6608538	1.0	275	tags=10%, list=3%, signal=10%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	55	0.2939397	1.0903273	0.31536925	0.6283539	1.0	2659	tags=45%, list=29%, signal=63%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	153	0.25811616	1.0661165	0.2	0.70201546	1.0	2452	tags=33%, list=26%, signal=44%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	122	0.2528814	1.0615664	0.32730925	0.6882576	1.0	1108	tags=16%, list=12%, signal=18%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	128	0.32338098	1.0592946	0.12774451	0.66392356	1.0	1849	tags=32%, list=20%, signal=39%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	77	0.22959642	1.0488228	0.28105906	0.660752	1.0	2377	tags=32%, list=25%, signal=43%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		106	0.2586361	1.036334	0.3745098	0.6729311	1.0	1802	tags=26%, list=19%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		98	0.2688846	1.0283431	0.2962963	0.66836786	1.0	2054	tags=30%, list=22%, signal=38%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		160	0.26861668	1.021351	0.31287128	0.65679854	1.0	2540	tags=34%, list=27%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		126	0.21272402	1.0157518	0.1919192	0.64477444	1.0	2022	tags=25%, list=22%, signal=32%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		80	0.2769389	1.0093484	0.38333333	0.6380141	1.0	2295	tags=31%, list=25%, signal=41%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		125	0.26037118	1.0084713	0.5101626	0.61727095	1.0	1628	tags=26%, list=17%, signal=32%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		48	0.27132353	0.9993711	0.37398374	0.61907345	1.0	2309	tags=38%, list=25%, signal=50%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		43	0.23895214	0.9950694	0.4011976	0.61564827	1.0	2449	tags=37%, list=26%, signal=50%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		110	0.22433656	0.91989493	0.5119048	0.7428285	1.0	683	tags=13%, list=7%, signal=14%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		83	0.2177319	0.8865354	0.6225296	0.7981413	1.0	1303	tags=19%, list=14%, signal=22%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		138	0.22893123	0.88530964	0.6727273	0.7791449	1.0	2632	tags=33%, list=28%, signal=46%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		157	0.20037	0.8492242	0.72121215	0.85086226	1.0	1629	tags=22%, list=17%, signal=26%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		71	0.24127817	0.8404303	0.49808428	0.8454001	1.0	1576	tags=25%, list=17%, signal=30%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		150	0.20243143	0.83821315	0.7322835	0.8266621	1.0	1302	tags=18%, list=14%, signal=21%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		75	0.19187544	0.77698326	0.8020202	0.9229684	1.0	1628	tags=19%, list=17%, signal=22%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		105	0.19866998	0.7706138	0.898	0.9000869	1.0	1367	tags=19%, list=15%, signal=22%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		185	0.16869581	0.6689916	0.7676768	0.9629846	1.0	2921	tags=34%, list=31%, signal=48%	
