NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	158	0.5727275	1.927893	0.0	0.04399999	0.0	834	tags=27%, list=9%, signal=29%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.6099581	1.6789552	0.0	0.081022546	0.133	1038	tags=35%, list=11%, signal=39%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	161	0.684336	1.6351855	0.0	0.06868174	0.133	802	tags=39%, list=9%, signal=42%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	157	0.7114389	1.6330295	0.0	0.062511265	0.133	1091	tags=46%, list=12%, signal=52%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	146	0.66208774	1.6298752	0.0	0.058809012	0.133	1507	tags=55%, list=16%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	141	0.6656338	1.6144406	0.0	0.056340877	0.133	1341	tags=52%, list=15%, signal=60%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	77	0.3666405	1.5685632	0.0	0.067615926	0.244	1034	tags=22%, list=11%, signal=25%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	162	0.35633057	1.5291417	0.0	0.069349095	0.288	1783	tags=30%, list=19%, signal=36%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	150	0.3296216	1.4076258	0.0	0.110298455	0.338	2007	tags=31%, list=22%, signal=39%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	0.32049868	1.3861805	0.088	0.10811008	0.338	3098	tags=42%, list=34%, signal=62%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	101	0.37093908	1.3817693	0.0	0.106319256	0.338	2602	tags=41%, list=28%, signal=56%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.39948714	1.3750433	0.09765625	0.10112607	0.338	2138	tags=37%, list=23%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	122	0.29924163	1.2764484	0.0	0.17533767	0.749	2068	tags=29%, list=22%, signal=36%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	104	0.26834816	1.2471305	0.0	0.19616921	0.791	1589	tags=20%, list=17%, signal=24%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	108	0.25839335	1.1996704	0.11023622	0.24072856	0.946	1393	tags=20%, list=15%, signal=24%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	78	0.2689022	1.1840178	0.08924949	0.24512716	1.0	1506	tags=22%, list=16%, signal=26%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.38145208	1.1300637	0.30879346	0.2989654	1.0	1813	tags=43%, list=20%, signal=54%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	80	0.2691156	1.127603	0.29288703	0.28480056	1.0	2079	tags=29%, list=23%, signal=37%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	0.23788092	0.95748794	0.61417323	0.6627969	1.0	1783	tags=23%, list=19%, signal=28%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	96	0.21557412	0.9037523	0.806	0.73998183	1.0	1108	tags=18%, list=12%, signal=20%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		73	0.20974146	0.8664134	0.58979595	0.8037355	1.0	1209	tags=16%, list=13%, signal=19%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		61	0.18473199	0.78331643	0.80618554	0.8876519	1.0	822	tags=11%, list=9%, signal=13%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	0.1851934	0.6161057	0.9087137	0.9772014	1.0	3056	tags=35%, list=33%, signal=53%	
