NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	121	-0.36780778	-1.3525037	0.075630255	1.0	0.762	2006	tags=34%, list=22%, signal=43%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	68	-0.3542791	-1.3269138	0.0	1.0	0.798	1362	tags=22%, list=15%, signal=26%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	20	-0.42660615	-1.310637	0.10570825	0.82919866	0.823	1135	tags=25%, list=12%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	-0.27953997	-1.2008564	0.18055555	1.0	0.975	2087	tags=34%, list=23%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	36	-0.37782288	-1.1996993	0.19878297	0.92031807	0.975	2437	tags=42%, list=27%, signal=57%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	68	-0.3423584	-1.1989466	0.08227848	0.7761257	0.975	2493	tags=35%, list=27%, signal=48%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	152	-0.2932573	-1.1940114	0.17515275	0.6729685	0.975	2456	tags=37%, list=27%, signal=49%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	81	-0.26883468	-1.061571	0.36308315	1.0	1.0	2370	tags=36%, list=26%, signal=48%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	98	-0.24044366	-1.0508059	0.346856	0.9736937	1.0	393	tags=10%, list=4%, signal=11%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	93	-0.28313643	-1.0210084	0.4113924	0.9771071	1.0	2857	tags=42%, list=31%, signal=60%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	124	-0.2407241	-1.0152406	0.46653143	0.9035549	1.0	2592	tags=35%, list=28%, signal=49%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	95	-0.22720474	-0.9449593	0.5436508	1.0	1.0	2307	tags=36%, list=25%, signal=47%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	60	-0.23714471	-0.9263795	0.46492985	1.0	1.0	2393	tags=33%, list=26%, signal=45%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.20979837	-0.88214135	0.7763975	1.0	1.0	1626	tags=24%, list=18%, signal=29%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	74	-0.18170801	-0.8797569	0.6252588	1.0	1.0	305	tags=7%, list=3%, signal=7%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	45	-0.22124794	-0.8649308	0.7957895	0.9699515	1.0	2611	tags=36%, list=28%, signal=49%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	110	-0.20560548	-0.85997975	0.7757202	0.9256831	1.0	1350	tags=18%, list=15%, signal=21%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	42	-0.21551156	-0.84221596	0.73674244	0.90673786	1.0	2033	tags=26%, list=22%, signal=34%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	76	-0.21418524	-0.8144598	0.84444445	0.9145393	1.0	1492	tags=21%, list=16%, signal=25%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	100	-0.2671398	-0.8030081	0.60169494	0.89580023	1.0	1940	tags=24%, list=21%, signal=30%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		136	-0.17268777	-0.75111324	0.8065173	0.9289124	1.0	1883	tags=21%, list=21%, signal=26%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		17	-0.22495462	-0.62475944	0.9558233	0.9928437	1.0	2560	tags=35%, list=28%, signal=49%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		56	-0.19149859	-0.45924798	0.7894737	0.9938223	1.0	2860	tags=34%, list=31%, signal=49%	
