NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	92	0.47203377	1.7600677	0.0	0.024624998	0.012	1863	tags=35%, list=20%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	124	0.6272964	1.7499619	0.0	0.033733554	0.038	1596	tags=51%, list=18%, signal=61%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	150	0.4396395	1.7357048	0.0	0.025822373	0.038	1866	tags=37%, list=20%, signal=45%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.4690318	1.731218	0.0	0.021866778	0.038	1180	tags=33%, list=13%, signal=37%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	122	0.44699165	1.7108185	0.0	0.022705186	0.052	928	tags=27%, list=10%, signal=30%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	69	0.5604865	1.7035918	0.0	0.02058766	0.052	945	tags=38%, list=10%, signal=42%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.5358367	1.633709	0.0	0.02372078	0.083	1783	tags=40%, list=20%, signal=49%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	0.41133392	1.6062878	0.0	0.02865749	0.121	1041	tags=26%, list=11%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	97	0.3937419	1.5120727	0.017612524	0.07931346	0.306	2157	tags=39%, list=24%, signal=51%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	0.51147556	1.511884	0.044573642	0.07238212	0.306	1491	tags=36%, list=16%, signal=43%	
