NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	148	0.7018031	3.0494766	0.0	0.0	0.0	1414	tags=55%, list=15%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	143	0.6746121	2.8939176	0.0	0.0	0.0	1376	tags=51%, list=15%, signal=59%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	158	0.660141	2.8893824	0.0	0.0	0.0	1363	tags=49%, list=15%, signal=56%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	160	0.6419676	2.8360791	0.0	0.0	0.0	1357	tags=46%, list=15%, signal=53%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	160	0.5135561	2.2598212	0.0	0.0	0.0	1126	tags=30%, list=12%, signal=34%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.5447064	1.9600585	0.0	3.0587555E-4	0.002	518	tags=24%, list=6%, signal=25%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.4632201	1.6614045	0.008389262	0.014792875	0.108	1437	tags=33%, list=15%, signal=38%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.3454485	1.4910874	0.002980626	0.063190624	0.439	1641	tags=25%, list=18%, signal=30%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	184	0.32443732	1.4521015	0.007473842	0.07802338	0.555	1916	tags=30%, list=21%, signal=38%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	123	0.32999456	1.4034227	0.022727273	0.10652833	0.697	2262	tags=35%, list=24%, signal=46%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	103	0.3136369	1.2996	0.06410257	0.20500053	0.922	1824	tags=22%, list=20%, signal=27%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	0.31944606	1.2369977	0.12908497	0.28710333	0.984	2238	tags=29%, list=24%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	0.28703022	1.2253575	0.11111111	0.2855819	0.99	1065	tags=20%, list=11%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	51	0.30652508	1.0931797	0.31490788	0.5669698	1.0	185	tags=8%, list=2%, signal=8%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	76	0.2775917	1.0793453	0.31647635	0.56906384	1.0	1453	tags=24%, list=16%, signal=28%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	0.29821897	1.0776075	0.32053423	0.5389244	1.0	1784	tags=27%, list=19%, signal=33%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	163	0.24220207	1.0600666	0.33135214	0.5498347	1.0	1643	tags=20%, list=18%, signal=24%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.346168	1.0484884	0.37696335	0.5466979	1.0	1562	tags=33%, list=17%, signal=40%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	103	0.24943948	1.0226393	0.4006462	0.583728	1.0	1444	tags=21%, list=16%, signal=25%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	105	0.23643218	0.98734695	0.46666667	0.6448778	1.0	1285	tags=17%, list=14%, signal=20%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		46	0.26281667	0.9294822	0.5721739	0.76339513	1.0	1473	tags=24%, list=16%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		77	0.23542738	0.92110306	0.5830619	0.7518201	1.0	1245	tags=18%, list=13%, signal=21%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		176	0.20621195	0.9160989	0.6574746	0.73109	1.0	2239	tags=27%, list=24%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		106	0.2205599	0.9085785	0.6501502	0.71794003	1.0	2868	tags=42%, list=31%, signal=59%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		96	0.22104129	0.8963478	0.66019416	0.7171572	1.0	1708	tags=25%, list=18%, signal=30%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		20	0.23877577	0.7073548	0.8643478	0.9874445	1.0	2245	tags=45%, list=24%, signal=59%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		37	0.19794102	0.6738365	0.9276896	0.9706728	1.0	1890	tags=22%, list=20%, signal=27%	
