NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	158	0.6167798	1.5962766	0.0	0.05699997	0.0	1546	tags=44%, list=17%, signal=51%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	50	0.51103836	1.5858719	0.0	0.05699997	0.057	749	tags=26%, list=8%, signal=28%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	163	0.62539834	1.5652723	0.0	0.05699998	0.057	1546	tags=44%, list=17%, signal=51%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	163	0.48507413	1.5319359	0.0	0.079078324	0.163	1509	tags=31%, list=16%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	148	0.65894324	1.5082617	0.0	0.0746627	0.163	1435	tags=51%, list=15%, signal=59%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	143	0.63257647	1.4843698	0.0	0.08027447	0.212	1573	tags=52%, list=17%, signal=61%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	126	0.31028822	1.4245931	0.0	0.10646061	0.372	2169	tags=33%, list=23%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	152	0.32301286	1.3236835	0.0	0.17289034	0.549	1647	tags=25%, list=18%, signal=30%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	164	0.31384808	1.3203241	0.0	0.1641505	0.549	699	tags=17%, list=7%, signal=18%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	79	0.2862615	1.2721211	0.0	0.21193358	0.71	1006	tags=19%, list=11%, signal=21%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.31714848	1.2128779	0.09475806	0.31558472	1.0	2409	tags=33%, list=26%, signal=44%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	23	0.41789258	1.1933727	0.11646587	0.3192931	1.0	1970	tags=43%, list=21%, signal=55%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	124	0.27897164	1.1426865	0.19838056	0.38268837	1.0	1744	tags=21%, list=19%, signal=25%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	102	0.2777233	1.1395369	0.2888889	0.369281	1.0	2564	tags=36%, list=27%, signal=49%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	78	0.2947492	1.1168002	0.2997988	0.40780592	1.0	2169	tags=33%, list=23%, signal=43%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.2674274	1.0915211	0.30039525	0.42857316	1.0	1835	tags=25%, list=20%, signal=30%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	104	0.228398	1.0601698	0.40433925	0.4640373	1.0	1481	tags=19%, list=16%, signal=23%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	106	0.21799937	0.95339257	0.39489195	0.6448788	1.0	884	tags=13%, list=9%, signal=14%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	185	0.22002146	0.86574966	0.5010225	0.8194217	1.0	2827	tags=33%, list=30%, signal=46%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	49	0.17865878	0.80315924	0.8	0.89224565	1.0	1081	tags=12%, list=12%, signal=14%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		19	0.2750939	0.77882266	0.79198474	0.8757766	1.0	2475	tags=42%, list=26%, signal=57%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		80	0.18098111	0.7188309	0.8834356	0.9128724	1.0	1635	tags=19%, list=18%, signal=23%	
